feature_group,horizon_checkups,mean_condition_mean_mae,mean_mae,mean_rmse,mean_worst_condition_mae,metric_rows,model_level,split_name,target,total_test_rows
prior_slope,5,0.340875127498706,0.13151539633829687,0.24826359467150574,1.375645525378788,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,7975
K0_prior_capacity,5,0.33441023400928366,0.15322682663440904,0.2418231639609428,1.2300287833167427,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K1_prior_state_time,5,0.30878596013396603,0.14185034511974837,0.2314655902911833,1.1576787757020492,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K2_nominal_condition,5,0.26008201357476585,0.13760424033492308,0.21354866458763813,0.914093817353165,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K4_prior_trajectory_shape,5,0.2880275351242999,0.13072186338647693,0.22529334823413147,1.0658066351116033,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K5_nominal_plus_trajectory_shape,5,0.2501955899003902,0.1372690540953414,0.21270640743795596,0.8473888746693462,12,MH2_ridge,all,delta_capacity_Ah_h,7975
K0_prior_capacity,5,0.2758911833627511,0.12657660645677893,0.22255856701751942,1.0761127942830566,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K1_prior_state_time,5,0.2681579049164402,0.11534716227215362,0.2113021313421587,1.0725507259630576,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K2_nominal_condition,5,0.24086334027361048,0.10527401622731725,0.19870352986281173,0.9445695894477785,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K4_prior_trajectory_shape,5,0.27503276465647125,0.12382011207740024,0.2174249801966092,1.079622749051888,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
K5_nominal_plus_trajectory_shape,5,0.2472498145158332,0.11532848415227281,0.2066378636143673,0.9364859114214522,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,7975
