checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_8_12,2,0.02444536933851662,-0.010125630661483732,0.5,1,2,prior_abs_ge_0_05,0.03457100000000035,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.153554458769815,0.05431695876981496,0.5,1,4,prior_abs_ge_0_05,0.09923750000000003,soh_lt_0_70,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,1,0.25997372121564244,0.01743022121564186,0.5,2,2,prior_abs_ge_0_05,0.24254350000000058,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,4,0.3904831708347509,-0.03669549583191595,0.5555555555555556,2,9,prior_abs_ge_0_05,0.4271786666666669,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,7,0.13655016175773282,-0.03367507508437256,0.6578947368421053,2,38,prior_abs_ge_0_05,0.1702252368421054,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,12,0.21629956018532337,-0.36611914569702964,1.0,2,34,prior_abs_lt_0_005,0.582418705882353,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_13_plus,1,0.3193179706701996,-0.0694510293298003,1.0,2,1,prior_abs_ge_0_05,0.3887689999999999,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_13_plus,1,0.1390438896720667,-0.0343751103279335,1.0,2,1,prior_abs_ge_0_05,0.1734190000000002,soh_lt_0_70,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,1,0.03466143801553789,-0.3096765619844619,1.0,2,1,prior_abs_ge_0_05,0.3443379999999998,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.11153826186489042,0.008770061864890474,0.4,2,5,prior_abs_0_02_0_05,0.10276819999999995,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,3,0.19267376216553933,0.0115692954988727,0.3333333333333333,2,15,prior_abs_ge_0_05,0.18110446666666663,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.113032324530871,-0.008392675469129113,0.5,2,2,prior_abs_0_02_0_05,0.12142500000000012,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.08797751232988506,0.000573762329885083,0.5,2,8,prior_abs_ge_0_05,0.08740374999999997,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.019649843874629036,0.014734843874629477,0.0,2,1,prior_abs_0_02_0_05,0.004914999999999559,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.12591706737640243,0.03919556737640209,0.5,2,2,prior_abs_ge_0_05,0.08672150000000034,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.21291927712084774,0.03661877712084788,0.0,2,2,prior_abs_ge_0_05,0.17630049999999986,soh_lt_0_70,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,3,0.6250719122411496,-0.1722170877588507,0.5,3,4,prior_abs_ge_0_05,0.7972890000000002,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,6,0.27474990583697934,0.030797583256334138,0.45161290322580644,3,31,prior_abs_ge_0_05,0.2439523225806452,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,7,0.15181983768340185,-0.34673844803088383,1.0,3,21,prior_abs_lt_0_005,0.4985582857142857,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_13_plus,1,0.7351976710432705,-0.023785328956729468,1.0,3,1,prior_abs_ge_0_05,0.758983,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,1,0.35269299201554605,-0.20424500798445389,1.0,3,1,prior_abs_ge_0_05,0.5569379999999999,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.06275095464542838,-0.016157295354571638,0.5,3,4,prior_abs_0_02_0_05,0.07890825000000001,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.217101801504837,0.09213233996637528,0.15384615384615385,3,13,prior_abs_ge_0_05,0.12496946153846171,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.22697912166004727,-0.0011628783399527942,0.5,3,2,prior_abs_0_02_0_05,0.22814200000000007,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.10498732764731243,-0.03891910092411606,0.7142857142857143,3,7,prior_abs_ge_0_05,0.1439064285714285,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.0017491247215885297,-0.0006578752784108521,1.0,3,1,prior_abs_0_02_0_05,0.002406999999999382,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.3335772671262446,0.1420617671262442,0.5,3,2,prior_abs_ge_0_05,0.1915155000000004,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
