beats_all_references,beats_k2,beats_persistence,beats_prior_slope,candidate_feature_group,candidate_mean_mae,claim_scope,gain_vs_k2,gain_vs_persistence,gain_vs_prior_slope,horizon_checkups,k2_mean_mae,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,False,True,True,K4_prior_trajectory_shape,0.06678657633656784,prospective_trajectory_diagnostic,-0.009672633715422645,0.0677713460869322,0.005552568848026046,3,0.0571139426211452,0.13455792242350004,0.07233914518459389,condition_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.061257235547495646,prospective_trajectory_diagnostic,-0.0041432929263504475,0.07330068687600438,0.011081909637098243,3,0.0571139426211452,0.13455792242350004,0.07233914518459389,condition_fold,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.08500382859526492,prospective_trajectory_diagnostic,-0.00996201775575778,0.09307928767359194,0.016697344151630017,5,0.07504181083950714,0.17808311626885687,0.10170117274689494,condition_fold,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.07829129759634862,prospective_trajectory_diagnostic,-0.0032494867568414743,0.09979181867250825,0.023409875150546322,5,0.07504181083950714,0.17808311626885687,0.10170117274689494,condition_fold,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.034910714355147324,prospective_trajectory_diagnostic,-0.003211801646988796,0.02520796516612927,-0.0061380481317430576,1,0.03169891270815853,0.06011867952127659,0.028772666223404266,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.032751694812445144,prospective_trajectory_diagnostic,-0.0010527821042866162,0.02736698470883145,-0.003979028589040878,1,0.03169891270815853,0.06011867952127659,0.028772666223404266,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.07350141075446523,prospective_trajectory_diagnostic,-0.011957657261560742,0.03327296075391466,-0.01672996382709093,2,0.06154375349290449,0.10677437150837989,0.0567714469273743,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.062128776947666914,prospective_trajectory_diagnostic,-0.0005850234547624261,0.04464559456071297,-0.005357330020292615,2,0.06154375349290449,0.10677437150837989,0.0567714469273743,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.10468253818449655,prospective_trajectory_diagnostic,-0.018435668526779303,0.039029338286091675,-0.02037017789037887,3,0.08624686965771725,0.14371187647058822,0.08431236029411768,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.09198193473093401,prospective_trajectory_diagnostic,-0.0057350650732167635,0.051729941739654214,-0.0076695744368163316,3,0.08624686965771725,0.14371187647058822,0.08431236029411768,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K4_prior_trajectory_shape,0.1753281409663896,prospective_trajectory_diagnostic,-0.05570047806119302,0.021522900152031454,-0.04983219030849481,5,0.11962766290519658,0.19685104111842106,0.1254959506578948,profile_holdout_fold,capacity_Ah_kh
False,False,True,False,K5_nominal_plus_trajectory_shape,0.12559156814499475,prospective_trajectory_diagnostic,-0.005963905239798173,0.0712594729734263,-9.561748709996376e-05,5,0.11962766290519658,0.19685104111842106,0.1254959506578948,profile_holdout_fold,capacity_Ah_kh
False,True,True,False,K4_prior_trajectory_shape,0.02924465569781787,prospective_trajectory_diagnostic,0.0002348734924201984,0.030874023823458722,-0.00047198947441360467,1,0.02947952919023807,0.06011867952127659,0.028772666223404266,profile_holdout_fold,delta_capacity_Ah_h
True,True,True,True,K5_nominal_plus_trajectory_shape,0.027104696504062522,prospective_trajectory_diagnostic,0.0023748326861755473,0.033013983017214074,0.0016679697193417442,1,0.02947952919023807,0.06011867952127659,0.028772666223404266,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.06933798886343555,prospective_trajectory_diagnostic,-0.010087907139353335,0.03743638264494434,-0.01256654193606125,2,0.059250081724082214,0.10677437150837989,0.0567714469273743,profile_holdout_fold,delta_capacity_Ah_h
False,True,True,False,K5_nominal_plus_trajectory_shape,0.05824985794647721,prospective_trajectory_diagnostic,0.0010002237776050027,0.048524513561902675,-0.0014784110191029126,2,0.059250081724082214,0.10677437150837989,0.0567714469273743,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.09569210278465975,prospective_trajectory_diagnostic,-0.0103381957949807,0.04801977368592847,-0.011379742490542077,3,0.08535390698967905,0.14371187647058822,0.08431236029411768,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K5_nominal_plus_trajectory_shape,0.0946990380994446,prospective_trajectory_diagnostic,-0.00934513110976555,0.04901283837114362,-0.010386677805326927,3,0.08535390698967905,0.14371187647058822,0.08431236029411768,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.16531889332385452,prospective_trajectory_diagnostic,-0.042783124175384324,0.031532147794566534,-0.03982294266595973,5,0.1225357691484702,0.19685104111842106,0.1254959506578948,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K5_nominal_plus_trajectory_shape,0.14619382088048521,prospective_trajectory_diagnostic,-0.023658051732015017,0.05065722023793584,-0.020697870222590425,5,0.1225357691484702,0.19685104111842106,0.1254959506578948,profile_holdout_fold,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.03880834797484217,prospective_trajectory_diagnostic,-0.004288957149979032,0.0302075183998209,-0.0018389760071871875,1,0.03451939082486314,0.06901586637466307,0.036969371967654985,temperature_holdout_fold,capacity_Ah_kh
