artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,positive_count,negative_count,brier,ece_10_bin,mean_support_score,median_nearest_distance,claim_scope
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B2_linear_extrapolation_to_threshold,distance_to_threshold,0.5,79,9,42,37,0.41209407709142615,0.3842320560135205,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B2_linear_extrapolation_to_threshold,distance_to_threshold,0.25,40,6,30,10,0.42811127174453745,0.3534686648501362,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B3_logistic_distance_baseline,distance_to_threshold,1.0,157,12,64,93,0.31866849833501176,0.29376437694691043,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B3_logistic_distance_baseline,distance_to_threshold,0.9,142,12,60,82,0.33035351707869626,0.31144000097402774,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B3_logistic_distance_baseline,distance_to_threshold,0.75,118,11,57,61,0.3756293144474378,0.36972265819438666,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B3_logistic_distance_baseline,distance_to_threshold,0.5,79,9,42,37,0.4148952708464873,0.3954154886504581,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B3_logistic_distance_baseline,distance_to_threshold,0.25,40,6,30,10,0.5545019270517624,0.5698697689220953,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W0_capacity_state,1.0,157,12,64,93,0.3630937418076785,0.3880239680413879,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W0_capacity_state,0.9,142,12,60,82,0.3773838545691049,0.40013036609218056,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W0_capacity_state,0.75,118,11,57,61,0.4312939918412972,0.45877067444729736,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W0_capacity_state,0.5,79,9,42,37,0.4781245356277631,0.5081241387859173,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W0_capacity_state,0.25,40,6,30,10,0.6715233790679712,0.7183331176220198,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W1_state_time,1.0,157,12,64,93,0.33865655700393826,0.3265116650528849,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
