split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
temperature_holdout_fold,2,14,calendar,40.0,calendar_soc_50,0.0,0.0,0,57,0,0,0.6,10,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,15,calendar,40.0,calendar_soc_90,0.0,0.0,0,57,0,0,0.6,11,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,16,calendar,40.0,calendar_soc_100,0.0,0.0,0,57,0,0,0.6,12,0.625,train_only_support_diagnostic
temperature_holdout_fold,1,17,cyclic,0.0,approx_0_100,0.33,0.33,0,57,0,0,0.3333333333333333,29,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,18,cyclic,0.0,approx_0_100,0.33,1.0,0,57,0,0,0.3333333333333333,30,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,19,cyclic,0.0,approx_0_100,1.0,1.0,0,57,0,0,0.3333333333333333,31,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,57,0,0,0.3333333333333333,32,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,21,cyclic,0.0,approx_10_100,0.33,0.33,0,57,0,0,0.3333333333333333,33,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,22,cyclic,0.0,approx_10_100,0.33,1.0,0,57,0,0,0.3333333333333333,34,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,23,cyclic,0.0,approx_10_100,1.0,1.0,0,57,0,0,0.3333333333333333,35,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,57,0,0,0.3333333333333333,36,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,25,cyclic,0.0,approx_10_90,0.33,0.33,0,57,0,0,0.3333333333333333,37,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,26,cyclic,0.0,approx_10_90,0.33,1.0,0,57,0,0,0.3333333333333333,38,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,27,cyclic,0.0,approx_10_90,1.0,1.0,0,57,0,0,0.3333333333333333,39,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,28,cyclic,0.0,approx_10_90,1.67,1.0,0,57,0,0,0.3333333333333333,40,0.75,train_only_support_diagnostic
temperature_holdout_fold,0,29,cyclic,10.0,approx_0_100,0.33,0.33,0,38,0,0,0.25,17,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,30,cyclic,10.0,approx_0_100,0.33,1.0,0,38,0,0,0.25,18,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,31,cyclic,10.0,approx_0_100,1.0,1.0,0,38,0,0,0.25,19,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,32,cyclic,10.0,approx_0_100,1.67,1.0,0,38,0,0,0.25,20,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,33,cyclic,10.0,approx_10_100,0.33,0.33,0,38,0,0,0.25,21,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,34,cyclic,10.0,approx_10_100,0.33,1.0,0,38,0,0,0.25,22,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,35,cyclic,10.0,approx_10_100,1.0,1.0,0,38,0,0,0.25,23,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,36,cyclic,10.0,approx_10_100,1.67,1.0,0,38,0,0,0.25,24,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,37,cyclic,10.0,approx_10_90,0.33,0.33,0,38,0,0,0.25,25,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,38,cyclic,10.0,approx_10_90,0.33,1.0,0,38,0,0,0.25,26,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,39,cyclic,10.0,approx_10_90,1.0,1.0,0,38,0,0,0.25,27,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,40,cyclic,10.0,approx_10_90,1.67,1.0,0,38,0,0,0.25,28,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,41,cyclic,25.0,approx_0_100,0.33,0.33,0,38,0,0,0.375,53,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,42,cyclic,25.0,approx_0_100,0.33,1.0,0,38,0,0,0.375,54,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,43,cyclic,25.0,approx_0_100,1.0,1.0,0,38,0,0,0.375,55,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,44,cyclic,25.0,approx_0_100,1.67,1.0,0,38,0,0,0.375,56,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,45,cyclic,25.0,approx_10_100,0.33,0.33,0,38,0,0,0.375,57,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,46,cyclic,25.0,approx_10_100,0.33,1.0,0,38,0,0,0.375,58,0.7272727272727273,train_only_support_diagnostic
