cell_id,checkup_k,checkup_k_next,duration_delta_h,event_count,event_duration_h,interval_duration_h,max_gap_s,parameter_set,replicate_id
P069_2,23,24,283.97027777761036,123231,780.9683333331659,496.99805555555554,30.0,69,2
P069_2,24,25,291.33388888871656,124446,795.6116666664943,504.27777777777777,30.0,69,2
P069_2,25,26,291.1174999998278,124054,794.6988888887167,503.5813888888889,30.0,69,2
P069_2,26,27,290.4822222220494,124463,793.592777777605,503.11055555555555,30.0,69,2
P069_2,27,28,555.8661111116714,239628,1554.3622222227825,998.4961111111111,30.0,69,2
P069_3,0,1,113.38472222220199,30294,281.9849999999798,168.6002777777778,30.0,69,3
P069_3,1,2,317.6344444443048,105058,818.9505555554159,501.3161111111111,30.0,69,3
P069_3,2,3,293.1394444442754,122420,797.7994444442754,504.66,30.0,69,3
P069_3,3,4,300.80083333316674,116741,802.0783333331667,501.2775,30.0,69,3
P069_3,4,5,291.01277777760964,122934,794.7277777776096,503.715,30.0,69,3
P069_3,5,6,291.1244444442722,123849,795.9933333331611,504.8688888888889,30.0,69,3
P069_3,6,7,288.0202777775968,126541,790.1111111109301,502.0908333333333,30.0,69,3
P069_3,7,8,288.35222222204254,127217,793.9233333331537,505.5711111111111,30.0,69,3
P069_3,8,9,286.1091666664839,127982,788.4733333331505,502.3641666666667,30.0,69,3
P069_3,9,10,286.9602777775984,127283,790.9877777775984,504.0275,30.0,69,3
P069_3,10,11,290.63027777760135,125084,794.5777777776013,503.9475,30.0,69,3
P069_3,11,12,298.5547222220495,120359,806.4155555553829,507.86083333333335,30.0,69,3
P069_3,12,13,286.5736111109362,125617,786.7455555553806,500.1719444444444,30.0,69,3
P069_3,13,14,288.99444444426456,127087,793.8405555553757,504.8461111111111,30.0,69,3
P069_3,14,15,287.8305555553723,128114,790.987222222039,503.1566666666667,30.0,69,3
P069_3,15,16,288.33472222203886,128341,813.9527777775944,525.6180555555555,30.0,69,3
P069_3,16,17,275.35888888871597,122676,757.4866666664938,482.1277777777778,30.0,69,3
P069_3,17,18,287.0686111109236,128196,790.7072222220347,503.6386111111111,30.0,69,3
P069_3,18,19,287.2944444442622,128203,790.70722222204,503.41277777777776,30.0,69,3
P069_3,19,20,286.36666666648415,128263,791.7083333331508,505.34166666666664,30.0,69,3
P069_3,20,21,290.7869444442708,124028,792.5222222220485,501.73527777777775,30.0,69,3
P069_3,21,22,293.3108333331546,127458,807.616666666488,514.3058333333333,30.0,69,3
P069_3,22,23,288.527777777606,125203,799.3849999998282,510.8572222222222,30.0,69,3
P069_3,23,24,285.5091666664994,123032,782.5016666664994,496.9925,30.0,69,3
P069_3,24,25,290.3866666664946,124061,794.166111110939,503.77944444444444,30.0,69,3
P069_3,25,26,290.09277777760207,124170,794.176666666491,504.0838888888889,30.0,69,3
P069_3,26,27,290.5422222220403,124298,793.653888888707,503.1116666666667,30.0,69,3
P069_3,27,28,554.5983333339137,239995,1553.3200000005804,998.7216666666667,30.0,69,3
P070_1,0,1,142.5797222222086,9989,311.77666666665306,169.19694444444445,30.0,70,1
P070_1,1,2,426.9202777778476,29138,925.767222222292,498.84694444444443,30.0,70,1
P070_1,2,3,418.9816666667505,34093,924.5905555556394,505.6088888888889,30.0,70,1
P070_1,3,4,419.48388888896693,33687,921.5211111111892,502.0372222222222,30.0,70,1
P070_1,4,5,420.9141666667542,33609,924.5811111111987,503.6669444444444,30.0,70,1
P070_1,5,6,88.45166666666199,5299,188.06444444443977,99.61277777777778,30.0,70,1
P070_2,0,1,142.5888888888747,10000,311.5611111110969,168.97222222222223,30.0,70,2
P070_2,1,2,424.5783333334105,30073,924.222777777855,499.64444444444445,30.0,70,2
P070_2,2,3,419.2336111111969,34449,923.9744444445303,504.74083333333334,30.0,70,2
P070_2,3,4,421.0872222223029,33065,923.3577777778585,502.2705555555556,30.0,70,2
P070_2,4,5,425.91694444452065,31700,929.2861111111873,503.3691666666667,30.0,70,2
P070_3,0,1,142.84777777776407,9930,311.96777777776407,169.12,30.0,70,3
P070_3,1,2,426.8875000000717,29183,926.273333333405,499.3858333333333,30.0,70,3
P070_3,2,3,419.3047222223108,34065,924.0777777778663,504.7730555555556,30.0,70,3
P070_3,3,4,419.56861111119395,33768,921.5400000000828,501.9713888888889,30.0,70,3
P070_3,4,5,420.80333333341576,33462,924.5561111111936,503.7527777777778,30.0,70,3
P070_3,5,6,425.9119444445201,31318,929.6694444445201,503.7575,30.0,70,3
P070_3,6,7,443.7347222222658,23388,949.0311111111547,505.2963888888889,30.0,70,3
P071_1,0,1,116.1186111110917,28627,285.39833333331393,169.27972222222223,30.0,71,1
P071_1,1,2,323.49055555541736,99454,824.0027777776396,500.51222222222225,30.0,71,1
P071_1,2,3,292.10472222205067,120404,796.7249999998285,504.6202777777778,30.0,71,1
P071_1,3,4,294.95638888871866,117860,796.7494444442742,501.79305555555555,30.0,71,1
P071_1,4,5,289.0927777776046,122025,793.8327777776046,504.74,30.0,71,1
P071_1,5,6,287.88166666649505,123020,790.5544444442728,502.67277777777775,30.0,71,1
P071_1,6,7,286.4133333331607,124280,791.1566666664941,504.74333333333334,30.0,71,1
P071_1,7,8,287.1983333331611,124490,791.2433333331611,504.045,30.0,71,1
P071_1,8,9,286.80555555537984,124672,790.9144444442687,504.1088888888889,30.0,71,1
P071_1,9,10,287.6741666664921,124463,791.9588888887143,504.28472222222223,30.0,71,1
P071_1,10,11,290.71083333315704,122587,793.1677777776015,502.45694444444445,30.0,71,1
P071_1,11,12,297.47749999982426,118460,805.9888888887132,508.5113888888889,30.0,71,1
P071_1,12,13,283.24027777760443,124142,782.7116666664933,499.4713888888889,30.0,71,1
P071_1,13,14,285.0702777776011,126397,787.7061111109344,502.6358333333333,30.0,71,1
P071_1,14,15,285.80527777759687,126308,789.2411111109302,503.43583333333333,30.0,71,1
P071_1,15,16,286.31527777759607,126759,814.4505555553739,528.1352777777778,30.0,71,1
P071_1,16,17,273.1144444442856,121332,755.7866666665078,482.6722222222222,30.0,71,1
P071_1,17,18,284.0755555553792,127404,785.6466666664903,501.5711111111111,30.0,71,1
P071_1,18,19,286.3474999998241,126874,792.3444444442686,505.99694444444447,30.0,71,1
P071_1,19,20,286.01999999982473,127061,789.7738888887136,503.75388888888887,30.0,71,1
P071_1,20,21,288.03527777760775,124325,790.1883333331633,502.15305555555557,30.0,71,1
P071_1,21,22,292.195833333151,127872,806.0816666664844,513.8858333333334,30.0,71,1
P071_1,22,23,286.624999999826,125481,797.309999999826,510.685,30.0,71,1
P071_1,23,24,281.83333333316006,124588,778.1705555553823,496.33722222222224,30.0,71,1
P071_1,24,25,286.18972222204627,125751,791.1205555553796,504.93083333333334,30.0,71,1
P071_1,25,26,286.1816666664902,125662,790.0972222220457,503.91555555555556,30.0,71,1
P071_1,26,27,286.3188888887149,125284,789.0638888887149,502.745,30.0,71,1
P071_1,27,28,546.9425000005571,241534,1545.310000000557,998.3675,30.0,71,1
