attribution_arm_id,feature_group,inner_validation_rows,max_inner_train_validation_overlap_count,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,outer_test_condition_count,outer_train_condition_count,outer_train_test_overlap_count,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.10045722688143217,0.08146558198394035,0.0030243625926781874,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.047432864288753984,delta_capacity_Ah,1.0
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.2214613672123502,0.08380290298311882,-0.0009292538453732857,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.17239062105772351,capacity_Ah_k1,0.25
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.21479684334297344,0.08332050798863107,-0.00044685885088553636,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.16524370219385898,capacity_Ah_k1,0.5
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.20811251021857094,0.0836019544596145,-0.0007283053218689865,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.1588408155404399,capacity_Ah_k1,0.75
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.23892962081799657,0.08356661704132813,-0.0006929679035826016,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.1896225887215792,capacity_Ah_k1,1.0
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.11970272325593259,0.1094827339729531,0.0013946803956519586,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.06830804286028062,capacity_Ah_k1,0.25
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.14563152581486521,0.11169339770251221,-0.0008159833339071531,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.09644750914877237,capacity_Ah_k1,0.5
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.06414539571387085,0.11057287774798322,0.00030453662062183344,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.01384085909324901,capacity_Ah_k1,0.75
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.09097069507816807,0.10958448150388996,0.0012929328647151024,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.03967776221345297,capacity_Ah_k1,1.0
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.4723449666123487,0.06762736996024142,-0.001724469233544325,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.424069435845893,delta_capacity_Ah,0.25
