target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,f4_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,temperature_holdout_fold,1,21,C_P3_stress_pulse,0.02882656058297566,0.0290133663661069,-0.0001868057831312421,43,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,22,C_P3_stress_pulse,0.07986600861865413,0.05657463187125292,0.023291376747401213,22,0.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,23,C_P3_stress_pulse,0.2809738877419638,0.29211959747461086,-0.011145709732647058,6,0.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,24,C_P3_stress_pulse,0.12746234618118302,0.043851660681327176,0.08361068549985584,4,0.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,25,C_P3_stress_pulse,0.021709403656414814,0.01902686562241203,0.002682538034002785,67,0.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,26,C_P3_stress_pulse,0.053395219577344624,0.03455215557930925,0.018843063998035377,33,0.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,27,C_P3_stress_pulse,0.07999529200892722,0.08401154076316221,-0.004016248754234994,15,0.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,28,C_P3_stress_pulse,0.1392507631752731,0.14408221247896336,-0.004831449303690255,9,0.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,temperature_holdout_fold,1,65,C_P3_stress_pulse,0.06179319082887979,0.053105314167112234,0.008687876661767555,55,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,1,66,C_P3_stress_pulse,0.021044873999911295,0.02092431780161998,0.00012055619829131475,84,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,1,67,C_P3_stress_pulse,0.17259353399695362,0.1580314672230224,0.014562066773931237,15,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,2,13,C_P3_stress_pulse,0.01415566198826805,0.007057087055296042,0.0070985749329720085,84,40.0,calendar_soc_10,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,2,14,C_P3_stress_pulse,0.016992881649981702,0.004419263703010553,0.01257361794697115,84,40.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,2,15,C_P3_stress_pulse,0.025171376900131916,0.03928642026143077,-0.014115043361298853,78,40.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,2,16,C_P3_stress_pulse,0.024925631533600567,0.029575179104513884,-0.004649547570913317,78,40.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,temperature_holdout_fold,2,53,C_P3_stress_pulse,0.0513118416398372,0.056856676214904915,-0.005544834575067714,44,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,54,C_P3_stress_pulse,0.0644906501841572,0.05668833424261901,0.007802315941538192,46,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,55,C_P3_stress_pulse,0.07756101709750027,0.07803653286934821,-0.00047551577184794247,22,40.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,56,C_P3_stress_pulse,0.14975356606789403,0.14033760155664568,0.009415964511248348,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,57,C_P3_stress_pulse,0.08214770192064441,0.08319863678144412,-0.0010509348607997127,36,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,58,C_P3_stress_pulse,0.06502906926072995,0.053640003128677054,0.011389066132052893,38,40.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,59,C_P3_stress_pulse,0.13285279445465095,0.11699512681481065,0.015857667639840298,19,40.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,60,C_P3_stress_pulse,0.13510210064105924,0.13926338337197774,-0.0041612827309185085,16,40.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,61,C_P3_stress_pulse,0.013175390882616152,0.009691054975496409,0.0034843359071197438,84,40.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,62,C_P3_stress_pulse,0.03367198423678793,0.008261205851419408,0.025410778385368524,84,40.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,63,C_P3_stress_pulse,0.04801311673020309,0.040609809643448506,0.0074033070867545805,81,40.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,64,C_P3_stress_pulse,0.0564568308912638,0.05146414045634756,0.004992690434916236,38,40.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,temperature_holdout_fold,2,74,C_P3_stress_pulse,0.06710717279881469,0.058551110636993774,0.008556062161820914,48,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,2,75,C_P3_stress_pulse,0.013919862149566562,0.031496173045469936,-0.017576310895903374,84,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,temperature_holdout_fold,2,76,C_P3_stress_pulse,0.09373090865131462,0.11453082483535051,-0.0207999161840359,83,40.0,approx_0_100,0.0,profile
capacity_Ah_k1,voltage_window_holdout_fold,1,17,C_P2_log_age_pulse,0.14554393595716683,0.1492902144540069,-0.003746278496840061,24,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,18,C_P2_log_age_pulse,0.10728264727834189,0.11357138297093627,-0.006288735692594388,17,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,19,C_P2_log_age_pulse,0.17599351273135297,0.19092793499338379,-0.014934422262030816,6,0.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,20,C_P2_log_age_pulse,0.165136739795693,0.17984945752133566,-0.014712717725642671,6,0.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,29,C_P2_log_age_pulse,0.1538540771641681,0.14458592432237155,0.00926815284179655,40,10.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,30,C_P2_log_age_pulse,0.10612665013859456,0.09691867883585413,0.009207971302740425,25,10.0,approx_0_100,0.33,cyclic
