comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,heldout_fold,parameter_set,candidate_condition_mae,reference_condition_mae,condition_mae_gain,row_count
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,61,0.018880913262841654,0.018716435432866333,-0.0001644778299753208,84
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,61,0.007090212085544543,0.007077679811528477,-1.2532274016065909e-05,84
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,61,0.007090212085544543,0.007077679811528477,-1.2532274016065909e-05,84
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,65,0.08526126425446562,0.08570885132893777,0.00044758707447214996,55
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,65,0.08325039013128266,0.08301944026485125,-0.00023094986643140691,55
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,65,0.08325039013128266,0.08301944026485125,-0.00023094986643140691,55
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,68,0.060313555281942044,0.06095519870513421,0.0006416434231921661,78
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,68,0.03374937181626551,0.03368399007168409,-6.538174458141366e-05,78
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,68,0.03374937181626551,0.03368399007168409,-6.538174458141366e-05,78
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,70,0.1489562487072751,0.1529112295157397,0.003954980808464598,18
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,70,0.09715135833134443,0.09705034936064133,-0.00010100897070310089,18
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,70,0.09715135833134443,0.09705034936064133,-0.00010100897070310089,18
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,72,0.02198978234142143,0.02388077355139852,0.0018909912099770929,84
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,72,0.022370007306179357,0.022382087700611182,1.2080394431825126e-05,84
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,72,0.022370007306179357,0.022382087700611182,1.2080394431825126e-05,84
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,73,0.09754134565559809,0.10653804849331104,0.00899670283771295,35
