parameter_set,checkup_k_next,target,n_replicates,n_intervals,condition_mean,condition_median,condition_std,replicate_spread,tolerance_low,tolerance_high,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,c_rate_holdout_fold,profile_holdout_fold
2,17,delta_capacity_Ah,3,3,-0.006621666666666304,-0.006567999999999685,0.00015464906509035143,0.0002949999999999342,-0.00679599999999958,-0.006500999999999646,calendar,0.0,calendar_soc_50,0.0,0,0
2,18,capacity_Ah_k1,3,3,2.7575183333333335,2.762568,0.012452641901754503,0.023318999999999868,2.743334,2.766653,calendar,0.0,calendar_soc_50,0.0,0,0
2,18,delta_capacity_Ah,3,3,-0.0055610000000002975,-0.005797000000000274,0.0006234524841557164,0.0011779999999999013,-0.006032000000000259,-0.004854000000000358,calendar,0.0,calendar_soc_50,0.0,0,0
2,19,capacity_Ah_k1,3,3,2.752072,2.757913,0.012439446169343683,0.022729,2.737787,2.760516,calendar,0.0,calendar_soc_50,0.0,0,0
2,19,delta_capacity_Ah,3,3,-0.0054463333333332935,-0.005546999999999969,0.0007461108049969239,0.0014819999999997613,-0.006136999999999837,-0.004655000000000076,calendar,0.0,calendar_soc_50,0.0,0,0
2,20,capacity_Ah_k1,3,3,2.746317,2.752424,0.012344814984437789,0.022308999999999912,2.732109,2.754418,calendar,0.0,calendar_soc_50,0.0,0,0
2,20,delta_capacity_Ah,3,3,-0.005755000000000028,-0.005678000000000072,0.0003117162170951128,0.0006090000000003037,-0.006098000000000159,-0.005488999999999855,calendar,0.0,calendar_soc_50,0.0,0,0
2,21,capacity_Ah_k1,3,3,2.740288,2.7456,0.0119638181196473,0.022088000000000108,2.726588,2.748676,calendar,0.0,calendar_soc_50,0.0,0,0
2,21,delta_capacity_Ah,3,3,-0.00602899999999984,-0.005741999999999692,0.0006973012261570311,0.0013030000000000541,-0.006823999999999941,-0.005520999999999887,calendar,0.0,calendar_soc_50,0.0,0,0
2,22,capacity_Ah_k1,3,3,2.735853,2.740914,0.011680042508484352,0.021653000000000144,2.722496,2.744149,calendar,0.0,calendar_soc_50,0.0,0,0
2,22,delta_capacity_Ah,3,3,-0.004434999999999967,-0.004526999999999948,0.00030750121950976465,0.0005939999999999834,-0.004685999999999968,-0.0040919999999999845,calendar,0.0,calendar_soc_50,0.0,0,0
2,23,capacity_Ah_k1,3,3,2.7347076666666665,2.740458,0.01413294209757239,0.02645300000000006,2.718606,2.745059,calendar,0.0,calendar_soc_50,0.0,0,0
2,23,delta_capacity_Ah,3,3,-0.0011453333333335536,-0.003691000000000333,0.004582643378371682,0.008035000000000014,-0.003890000000000171,0.004144999999999843,calendar,0.0,calendar_soc_50,0.0,0,0
2,24,capacity_Ah_k1,3,3,2.7293656666666664,2.736261,0.012938458189959456,0.022955999999999754,2.71444,2.737396,calendar,0.0,calendar_soc_50,0.0,0,0
2,24,delta_capacity_Ah,3,3,-0.005341999999999884,-0.004197000000000006,0.00201010472364012,0.0034970000000003054,-0.007662999999999975,-0.00416599999999967,calendar,0.0,calendar_soc_50,0.0,0,0
2,25,capacity_Ah_k1,3,3,2.724828666666667,2.732015,0.012694711510441473,0.022129000000000065,2.710171,2.7323,calendar,0.0,calendar_soc_50,0.0,0,0
2,25,delta_capacity_Ah,3,3,-0.004537000000000013,-0.0042690000000003,0.0007469725563900377,0.0014199999999999768,-0.005380999999999858,-0.003960999999999881,calendar,0.0,calendar_soc_50,0.0,0,0
2,26,capacity_Ah_k1,3,3,2.7205150000000002,2.727385,0.012646868189397776,0.022320000000000118,2.70592,2.72824,calendar,0.0,calendar_soc_50,0.0,0,0
2,26,delta_capacity_Ah,3,3,-0.004313666666666697,-0.004251000000000005,0.00029012123902497636,0.0005700000000001815,-0.004630000000000134,-0.0040599999999999525,calendar,0.0,calendar_soc_50,0.0,0,0
2,27,capacity_Ah_k1,3,3,2.711525333333333,2.717927,0.012447324304176203,0.022289000000000225,2.69718,2.719469,calendar,0.0,calendar_soc_50,0.0,0,0
2,27,delta_capacity_Ah,3,3,-0.008989666666666599,-0.008770999999999862,0.00040588463057050485,0.0007179999999999964,-0.009457999999999966,-0.00873999999999997,calendar,0.0,calendar_soc_50,0.0,0,0
2,28,capacity_Ah_k1,3,3,2.7107196666666664,2.717109,0.011535708445229284,0.02024399999999993,2.697403,2.717647,calendar,0.0,calendar_soc_50,0.0,0,0
2,28,delta_capacity_Ah,3,3,-0.0008056666666666304,-0.0008179999999997634,0.001022555784949473,0.0020450000000002966,-0.0018220000000002123,0.00022300000000008424,calendar,0.0,calendar_soc_50,0.0,0,0
3,1,capacity_Ah_k1,3,3,2.924395333333333,2.929563,0.009490014559173915,0.016737000000000002,2.913443,2.93018,calendar,0.0,calendar_soc_90,0.0,0,0
3,1,delta_capacity_Ah,3,3,-0.02802800000000009,-0.028494999999999937,0.0011950175730924763,0.0022489999999999455,-0.02891900000000014,-0.026670000000000194,calendar,0.0,calendar_soc_90,0.0,0,0
3,2,capacity_Ah_k1,3,3,2.9018386666666665,2.905823,0.008648642340467671,0.01586099999999968,2.891916,2.907777,calendar,0.0,calendar_soc_90,0.0,0,0
3,2,delta_capacity_Ah,3,3,-0.022556666666666707,-0.022403000000000173,0.001114474016446131,0.0022130000000002426,-0.023740000000000094,-0.021526999999999852,calendar,0.0,calendar_soc_90,0.0,0,0
3,3,capacity_Ah_k1,3,3,2.880457,2.884393,0.009144085356119443,0.016969999999999708,2.870004,2.886974,calendar,0.0,calendar_soc_90,0.0,0,0
3,3,delta_capacity_Ah,3,3,-0.021381666666666483,-0.021429999999999616,0.0005560776324699039,0.0011090000000000266,-0.02191199999999993,-0.020802999999999905,calendar,0.0,calendar_soc_90,0.0,0,0
3,4,capacity_Ah_k1,3,3,2.8591960000000003,2.8635,0.009202646793178565,0.016827999999999843,2.84863,2.865458,calendar,0.0,calendar_soc_90,0.0,0,0
3,4,delta_capacity_Ah,3,3,-0.021261000000000124,-0.021374000000000226,0.0003265103367430044,0.0006230000000000402,-0.02151600000000009,-0.02089300000000005,calendar,0.0,calendar_soc_90,0.0,0,0
3,5,capacity_Ah_k1,3,3,2.8430803333333334,2.847846,0.009749191778467265,0.017665000000000042,2.831865,2.84953,calendar,0.0,calendar_soc_90,0.0,0,0
3,5,delta_capacity_Ah,3,3,-0.016115666666666566,-0.01592799999999972,0.0005787869498643754,0.001110999999999862,-0.01676499999999992,-0.015654000000000057,calendar,0.0,calendar_soc_90,0.0,0,0
3,6,capacity_Ah_k1,3,3,2.826415666666667,2.831402,0.009972900798330171,0.017978999999999967,2.814933,2.832912,calendar,0.0,calendar_soc_90,0.0,0,0
3,6,delta_capacity_Ah,3,3,-0.016664666666666772,-0.016618000000000244,0.0002473243484442819,0.000488000000000266,-0.01693200000000017,-0.016443999999999903,calendar,0.0,calendar_soc_90,0.0,0,0
3,7,capacity_Ah_k1,3,3,2.812246666666667,2.817518,0.00999628257570462,0.01778600000000008,2.800718,2.818504,calendar,0.0,calendar_soc_90,0.0,0,0
3,7,delta_capacity_Ah,3,3,-0.014169000000000024,-0.014215000000000089,0.00026501132051291,0.0005239999999999689,-0.014407999999999976,-0.013884000000000007,calendar,0.0,calendar_soc_90,0.0,0,0
3,8,capacity_Ah_k1,3,3,2.799039333333333,2.804309,0.010165481411784374,0.018167000000000044,2.787321,2.805488,calendar,0.0,calendar_soc_90,0.0,0,0
3,8,delta_capacity_Ah,3,3,-0.013207333333333349,-0.013209000000000248,0.00019050546798800078,0.0003809999999999647,-0.013396999999999881,-0.013015999999999917,calendar,0.0,calendar_soc_90,0.0,0,0
3,9,capacity_Ah_k1,3,3,2.7869626666666663,2.792334,0.010575037840751915,0.018994000000000177,2.77478,2.793774,calendar,0.0,calendar_soc_90,0.0,0,0
3,9,delta_capacity_Ah,3,3,-0.012076666666666735,-0.011975000000000069,0.00042276983493786356,0.0008270000000001332,-0.012541000000000135,-0.011714000000000002,calendar,0.0,calendar_soc_90,0.0,0,0
3,10,capacity_Ah_k1,3,3,2.7757493333333336,2.7809,0.010741927635826388,0.019543999999999784,2.763402,2.782946,calendar,0.0,calendar_soc_90,0.0,0,0
3,10,delta_capacity_Ah,3,3,-0.011213333333333223,-0.011377999999999666,0.0003348810734174791,0.0006059999999998844,-0.011433999999999944,-0.01082800000000006,calendar,0.0,calendar_soc_90,0.0,0,0
3,11,capacity_Ah_k1,3,3,2.765241666666667,2.770327,0.010703971101106857,0.019511999999999752,2.752943,2.772455,calendar,0.0,calendar_soc_90,0.0,0,0
3,11,delta_capacity_Ah,3,3,-0.010507666666666656,-0.010491000000000028,5.879909296349195e-05,0.00011399999999994748,-0.010572999999999944,-0.010458999999999996,calendar,0.0,calendar_soc_90,0.0,0,0
3,12,capacity_Ah_k1,3,3,2.755944,2.761003,0.010855858648674365,0.0198649999999998,2.743482,2.763347,calendar,0.0,calendar_soc_90,0.0,0,0
