target,split_name,model_level,feature_group,parameter_set,n_predictions,model_mae,model_median_abs_error,mean_replicate_spread,model_mae_minus_replicate_spread,model_error_exceeds_spread
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,28,9,0.15240289289689674,0.12163531180523401,0.07086466666666673,0.08153822623023001,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,32,6,0.3933823372386868,0.40083097299863124,0.025018499999999944,0.3683638372386869,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,36,6,0.3959277013726396,0.3854354208221562,0.052907999999999955,0.34301970137263965,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,40,15,0.12843425241079348,0.03107920715968282,0.26770559999999993,-0.13927134758920645,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,44,6,0.17588454781838866,0.08671867183995663,0.184701,-0.00881645218161134,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,48,10,0.07089588154122954,0.03787327443714861,0.08195099999999997,-0.011055118458770427,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,52,28,0.07614741201334409,0.03625033548053602,0.30563214285714285,-0.22948473084379878,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,56,13,0.16246918136543648,0.04146037271711389,0.12802292307692303,0.03444625828851344,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,60,16,0.18752386362681578,0.02149015232701834,0.2783338125,-0.09080994887318422,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F2_state_exposure,64,38,0.049462286695370915,0.024265217452910104,0.12186707894736845,-0.07240479225199753,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,20,6,0.2682635715338737,0.26051035299324443,0.02733399999999986,0.24092957153387384,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,24,4,0.2824608179219299,0.27656841493181816,0.021890999999999994,0.2605698179219299,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,28,9,0.137301767414202,0.03827968745666821,0.07086466666666673,0.06643710074753527,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,32,6,0.31157690343618494,0.3209222257664721,0.025018499999999944,0.286558403436185,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,36,6,0.3638987271461566,0.3667364215292581,0.052907999999999955,0.31099072714615666,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,40,15,0.11410203171566628,0.055165887671593694,0.26770559999999993,-0.15360356828433364,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,44,6,0.1970592207228148,0.08058109826752302,0.184701,0.012358220722814783,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,48,10,0.07624932980062069,0.033041268061169804,0.08195099999999997,-0.005701670199379283,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,52,28,0.07703671291871804,0.034995444509334006,0.30563214285714285,-0.2285954299384248,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,56,13,0.16679646766817993,0.05309226080278773,0.12802292307692303,0.0387735445912569,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,60,16,0.1933670085987087,0.030227951388557273,0.2783338125,-0.0849668039012913,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F3_state_nominal,64,38,0.04724598158814318,0.01614779704594249,0.12186707894736845,-0.07462109735922527,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,20,6,0.29496450504522054,0.28905347009697113,0.02733399999999986,0.2676305050452207,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,24,4,0.29126779077764475,0.26754471937320345,0.021890999999999994,0.26937679077764476,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,28,9,0.17250588591372773,0.10377959031283668,0.07086466666666673,0.101641219247061,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,32,6,0.36302425183161313,0.37129095827935865,0.025018499999999944,0.3380057518316132,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,36,6,0.4024433007561317,0.4080713150131996,0.052907999999999955,0.34953530075613176,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,40,15,0.10833767455494196,0.041110059072233085,0.26770559999999993,-0.15936792544505796,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,44,6,0.20623415196051678,0.13693741823585448,0.184701,0.021533151960516778,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,48,10,0.053297336023533995,0.01099344353377818,0.08195099999999997,-0.028653663976465973,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,52,28,0.06527028239778086,0.02649480901439083,0.30563214285714285,-0.24036186045936198,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,56,13,0.1526683590560733,0.0212693441320293,0.12802292307692303,0.024645435979150254,True
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,60,16,0.18872139796795256,0.022667900253781514,0.2783338125,-0.08961241453204744,False
capacity_Ah_k1,c_rate_holdout_fold,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,64,38,0.04843264345630562,0.019505539909902225,0.12186707894736845,-0.07343443549106282,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,1,84,0.017105172010077534,0.011795629515463535,0.02610532142857139,-0.009000149418493857,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,2,84,0.007037948150391525,0.005246341188924752,0.020372428571428607,-0.013334480421037083,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,3,84,0.004297490711171216,0.003157503430566422,0.020342178571428535,-0.01604468786025732,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,4,84,0.004690704096859185,0.002649433191346695,0.018236285714285705,-0.01354558161742652,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,5,84,0.01113279283739528,0.007123877270414747,0.009713857142857123,0.0014189356945381575,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,6,84,0.008509446690554857,0.006480478718830396,0.017704607142857154,-0.009195160452302297,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,7,84,0.004476511672143791,0.002638816095261287,0.00390996428571425,0.0005665473864295409,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,8,84,0.004153009452035593,0.0034153294298202574,0.007699285714285686,-0.0035462762622500933,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,9,84,0.015159950251612653,0.010472572482467912,0.02672882142857142,-0.011568871176958768,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,10,84,0.0063339160869606715,0.004441562504930108,0.01524664285714285,-0.008912726770182178,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,11,84,0.004441375053029709,0.0036535150718015608,0.013817142857142814,-0.009375767804113106,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,12,78,0.00734514491106605,0.00411065825545065,0.07007137179487183,-0.06272622688380577,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,13,84,0.009361007204948596,0.005662645370880348,0.018049142857142875,-0.008688135652194279,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,14,84,0.008653594589788977,0.006094083415299156,0.021517535714285736,-0.012863941124496759,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,15,78,0.012786821621614571,0.009940840973811316,0.047662217948717965,-0.034875396327103396,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,16,78,0.012216583782211961,0.010735989000350221,0.06587328205128205,-0.05365669826907009,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,17,24,0.09094543922824071,0.07248656179226809,0.05091625000000016,0.040029189228240544,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,18,17,0.13848693687364216,0.14524629537878164,0.03281870588235291,0.10566823099128925,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,19,6,0.16661684493621617,0.1662674412156011,0.02906350000000002,0.13755334493621615,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,20,6,0.21756315471706458,0.2164093064024778,0.02733399999999986,0.19022915471706472,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,21,43,0.03286920613575613,0.012949880868931007,0.03242846511627908,0.0004407410194770464,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,22,22,0.08988603580834478,0.025888428250536055,0.16523659090909087,-0.07535055510074609,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,23,6,0.32551568072587017,0.28773812319995495,0.07167500000000004,0.2538406807258701,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,24,4,0.12056690312758667,0.1386912828311193,0.021890999999999994,0.09867590312758667,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,25,67,0.02413616323503386,0.012151210706112359,0.05666973134328359,-0.03253356810824973,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,26,33,0.057110132339170235,0.015320940029282415,0.06727572727272726,-0.01016559493355703,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,27,15,0.11815669626126508,0.11343952571346927,0.21257900000000002,-0.09442230373873493,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,28,9,0.17573353319870819,0.0631453560874724,0.07086466666666673,0.10486886653204146,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,29,40,0.06888761087676262,0.06816041358227976,0.058539000000000105,0.010348610876762518,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,30,25,0.14998802525920504,0.17740451321537254,0.029072880000000065,0.12091514525920498,True
