parameter_set,checkup_k_next,target,tolerance_low,tolerance_high,replicate_spread,n_replicates
3,12,capacity_Ah_k1,2.743482,2.763347,0.0198649999999998,3
3,12,delta_capacity_Ah,-0.009460999999999942,-0.009107999999999894,0.0003530000000000477,3
3,13,capacity_Ah_k1,2.734825,2.755113,0.020288000000000306,3
3,13,delta_capacity_Ah,-0.008657000000000359,-0.008233999999999853,0.0004230000000005063,3
3,14,capacity_Ah_k1,2.726803,2.747197,0.020394000000000023,3
3,14,delta_capacity_Ah,-0.008081000000000227,-0.007916000000000256,0.00016499999999997073,3
3,15,capacity_Ah_k1,2.718786,2.739098,0.020311999999999664,3
3,15,delta_capacity_Ah,-0.008099000000000078,-0.007835999999999732,0.0002630000000003463,3
3,16,capacity_Ah_k1,2.711229,2.732004,0.020774999999999988,3
3,16,delta_capacity_Ah,-0.007557000000000258,-0.007093999999999934,0.00046300000000032426,3
3,17,capacity_Ah_k1,2.703884,2.724443,0.020558999999999994,3
3,17,delta_capacity_Ah,-0.007560999999999929,-0.007128999999999941,0.00043199999999998795,3
3,18,capacity_Ah_k1,2.69754,2.718462,0.020922000000000107,3
3,18,delta_capacity_Ah,-0.006343999999999905,-0.005980999999999792,0.00036300000000011323,3
3,19,capacity_Ah_k1,2.691278,2.711869,0.020591000000000026,3
3,19,delta_capacity_Ah,-0.006593000000000071,-0.00626199999999999,0.00033100000000008123,3
3,20,capacity_Ah_k1,2.684808,2.70588,0.0210720000000002,3
3,20,delta_capacity_Ah,-0.006470000000000198,-0.005989000000000022,0.00048100000000017573,3
3,21,capacity_Ah_k1,2.679096,2.700359,0.021263000000000254,3
3,21,delta_capacity_Ah,-0.005711999999999939,-0.005169999999999675,0.0005420000000002645,3
3,22,capacity_Ah_k1,2.673627,2.694843,0.0212159999999999,3
3,22,delta_capacity_Ah,-0.005516000000000076,-0.005364000000000146,0.00015199999999992997,3
3,23,capacity_Ah_k1,2.668381,2.706817,0.038435999999999915,3
3,23,delta_capacity_Ah,-0.005469000000000168,0.014132000000000033,0.0196010000000002,3
3,24,capacity_Ah_k1,2.663652,2.686717,0.02306499999999989,3
3,24,delta_capacity_Ah,-0.02110600000000007,-0.0026570000000001315,0.018448999999999938,3
3,25,capacity_Ah_k1,2.658548,2.6799,0.021351999999999816,3
3,25,delta_capacity_Ah,-0.006816999999999851,-0.005103999999999775,0.0017130000000000756,3
3,26,capacity_Ah_k1,2.654055,2.675209,0.021154000000000117,3
3,26,delta_capacity_Ah,-0.0052280000000002325,-0.00449300000000008,0.0007350000000001522,3
3,27,capacity_Ah_k1,2.645263,2.666429,0.021166000000000018,3
3,27,delta_capacity_Ah,-0.00928199999999979,-0.008780000000000232,0.0005019999999995584,3
3,28,capacity_Ah_k1,2.643609,2.664717,0.021107999999999905,3
3,28,delta_capacity_Ah,-0.0024480000000002278,-0.0016539999999998223,0.0007940000000004055,3
4,1,capacity_Ah_k1,2.922485,2.9342,0.011715000000000142,3
4,1,delta_capacity_Ah,-0.02372099999999966,-0.02217199999999986,0.0015489999999998005,3
4,2,capacity_Ah_k1,2.900273,2.912405,0.012132000000000254,3
4,2,delta_capacity_Ah,-0.02221200000000012,-0.02179500000000001,0.0004170000000001117,3
4,3,capacity_Ah_k1,2.879583,2.890979,0.011396000000000406,3
4,3,delta_capacity_Ah,-0.021425999999999945,-0.020690000000000097,0.0007359999999998479,3
4,4,capacity_Ah_k1,2.855656,2.868693,0.013036999999999743,3
4,4,delta_capacity_Ah,-0.023926999999999587,-0.02220000000000022,0.001726999999999368,3
4,5,capacity_Ah_k1,2.838264,2.852804,0.014539999999999775,3
4,5,delta_capacity_Ah,-0.017392000000000074,-0.015889000000000042,0.001503000000000032,3
4,6,capacity_Ah_k1,2.820841,2.835366,0.014524999999999899,3
4,6,delta_capacity_Ah,-0.017437999999999843,-0.016019000000000005,0.001418999999999837,3
4,7,capacity_Ah_k1,2.806784,2.82191,0.015125999999999973,3
4,7,delta_capacity_Ah,-0.014085000000000125,-0.013456000000000135,0.0006289999999999907,3
