diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,0,3,0.03970434471305323,2.6099522679138383e-05,0.03970434471305323,2.6099522679138383e-05,0.03970434471305323,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.39998449206382775,0.0004536709507883996,0.39998449206382775,0.0004536709507883996,0.39998449206382775,1,1,capacity_state,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,0,3,0.08650438462184121,6.444540350782969e-05,0.08650438462184121,6.444540350782969e-05,0.08650438462184121,1,1,persistence,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,1,3,0.1795727476723075,0.00014895690613429813,0.1795727476723075,0.00014895690613429813,0.1795727476723075,1,1,prior_same_diagnostic,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,1,5,0.26445526741753705,0.0003401796034188785,0.26445526741753705,0.0003401796034188785,0.26445526741753705,1,1,capacity_state,1,all,eis_z_abs_1kHz
eis,1,5,0.19686129519987752,0.00023191824758222784,0.19686129519987752,0.00023191824758222784,0.19686129519987752,1,1,persistence,1,all,eis_z_abs_1kHz
eis,0,5,0.030708670332062638,2.997587179929726e-05,0.030708670332062638,2.997587179929726e-05,0.030708670332062638,1,1,prior_same_diagnostic,1,all,eis_z_abs_1kHz
eis,0,5,-0.1410923309692122,-0.00024205023150879169,-0.1410923309692122,-0.00024205023150879169,-0.1410923309692122,0,0,capacity_state,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,5,0.31675648725474886,0.0009075548494579437,0.31675648725474886,0.0009075548494579437,0.31675648725474886,1,1,persistence,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,0,5,-0.06854948915317859,-0.00012558346515587635,-0.06854948915317859,-0.00012558346515587635,-0.06854948915317859,0,0,prior_same_diagnostic,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,5,0.27957682649658133,0.00026755806667552447,0.27957682649658133,0.00026755806667552447,0.27957682649658133,1,1,capacity_state,1,condition_fold,eis_z_abs_1kHz
eis,1,5,0.32383895093800574,0.000330204879924343,0.32383895093800574,0.000330204879924343,0.32383895093800574,1,1,persistence,1,condition_fold,eis_z_abs_1kHz
eis,0,5,0.07336208878516885,5.458410280498446e-05,0.07336208878516885,5.458410280498446e-05,0.07336208878516885,1,1,prior_same_diagnostic,1,condition_fold,eis_z_abs_1kHz
eis,1,5,0.45729014188291944,0.0008526221317557356,0.45729014188291944,0.0008526221317557356,0.45729014188291944,1,1,capacity_state,1,profile_holdout_fold,eis_z_abs_1kHz
eis,0,5,-0.021736431932465872,-2.152691763680683e-05,-0.021736431932465872,-2.152691763680683e-05,-0.021736431932465872,0,0,persistence,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,5,0.185939561311095,0.00023112537311892074,0.185939561311095,0.00023112537311892074,0.185939561311095,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_z_abs_1kHz
