feature_group,horizon_checkups,max_abs_error,mean_abs_error,median_abs_error,model_level,parameter_set,rows,split_name,target_name
DH1_capacity_state,1,1.1409690599854085,0.584660476493077,0.41546887851934855,DM3_hist_gradient_boosting,31,6,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.155356189271402,0.5836659249204011,0.6365022748325713,DM3_hist_gradient_boosting,43,9,condition_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,5,1.3263591742681375,0.5825116498039786,0.5777861033816066,DM3_hist_gradient_boosting,47,19,voltage_window_holdout_fold,eis_phase_1kHz
persistence,2,1.5907423976608186,0.5823742397660819,0.37750000000000006,DM0_persistence,60,10,c_rate_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,2,1.5866596169912617,0.5819129211675411,0.46432214593646076,DM3_hist_gradient_boosting,17,21,temperature_holdout_fold,eis_phase_1kHz
persistence,3,1.462,0.5816923076923077,0.587,DM0_persistence,73,26,condition_fold,eis_phase_1kHz
persistence,3,1.462,0.5816923076923077,0.587,DM0_persistence,73,26,profile_holdout_fold,eis_phase_1kHz
persistence,3,1.462,0.5816923076923077,0.587,DM0_persistence,73,26,voltage_window_holdout_fold,eis_phase_1kHz
DH1_capacity_state,2,1.4265908129984797,0.5815776459078805,0.49085749660010214,DM3_hist_gradient_boosting,17,21,temperature_holdout_fold,eis_phase_1kHz
DH3_capacity_plus_prior_same_diagnostic,2,1.2731171090884605,0.5808858749577528,0.5087190589024944,DM3_hist_gradient_boosting,35,8,voltage_window_holdout_fold,eis_phase_1kHz
DH2_prior_same_diagnostic_state,5,1.5564959965585456,0.5805487215959746,0.482081823534988,DM3_hist_gradient_boosting,41,41,voltage_window_holdout_fold,eis_phase_1kHz
