beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,gain,horizon_checkups,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
True,DH3_capacity_plus_prior_same_diagnostic,0.0009205521640254765,DM3_hist_gradient_boosting,eis,3.8352264407808e-05,3,DH2_prior_same_diagnostic_state,0.0009589044284332845,DM3_hist_gradient_boosting,prior_same_diagnostic,0.03999591958342525,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0013195084429450275,DM3_hist_gradient_boosting,eis,0.00036301754505935636,5,DH1_capacity_state,0.0016825259880043839,DM3_hist_gradient_boosting,capacity_state,0.2157574668370653,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0013195084429450275,DM3_hist_gradient_boosting,eis,0.0005270661891189138,5,persistence,0.0018465746320639412,DM0_persistence,persistence,0.2854291291383142,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0013195084429450275,DM3_hist_gradient_boosting,eis,5.0411496019286614e-05,5,DH2_prior_same_diagnostic_state,0.0013699199389643141,DM3_hist_gradient_boosting,prior_same_diagnostic,0.036798862900994544,all,nyquist_semicircle_width_proxy
True,DH3_capacity_plus_prior_same_diagnostic,0.0007326027366097563,DM3_hist_gradient_boosting,pulse,0.00029064511473745464,1,DH1_capacity_state,0.001023247851347211,DM3_hist_gradient_boosting,capacity_state,0.28404175425806216,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0007326027366097563,DM3_hist_gradient_boosting,pulse,0.00021164263199597883,1,persistence,0.0009442453686057352,DM0_persistence,persistence,0.22413944408166764,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0007326027366097563,DM3_hist_gradient_boosting,pulse,0.00010583916441901317,1,DH2_prior_same_diagnostic_state,0.0008384419010287695,DM3_hist_gradient_boosting,prior_same_diagnostic,0.12623315257640197,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0009981578033376691,DM3_hist_gradient_boosting,pulse,0.00028610941572170044,2,DH1_capacity_state,0.0012842672190593696,DM3_hist_gradient_boosting,capacity_state,0.22278028394375304,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0009981578033376691,DM3_hist_gradient_boosting,pulse,0.0003373806402472415,2,persistence,0.0013355384435849106,DM0_persistence,persistence,0.2526176927873597,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0009981578033376691,DM3_hist_gradient_boosting,pulse,8.919635004457985e-05,2,DH2_prior_same_diagnostic_state,0.001087354153382249,DM3_hist_gradient_boosting,prior_same_diagnostic,0.0820306335034743,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011044157686209229,DM3_hist_gradient_boosting,pulse,0.0002455148084946719,3,DH1_capacity_state,0.0013499305771155947,DM3_hist_gradient_boosting,capacity_state,0.1818721737670873,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011044157686209229,DM3_hist_gradient_boosting,pulse,0.00039511000241612953,3,persistence,0.0014995257710370524,DM0_persistence,persistence,0.26348997132798635,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011044157686209229,DM3_hist_gradient_boosting,pulse,0.00011105887369888367,3,DH2_prior_same_diagnostic_state,0.0012154746423198065,DM3_hist_gradient_boosting,prior_same_diagnostic,0.09137078621971177,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0014651177107555386,DM3_hist_gradient_boosting,pulse,0.00022776854727284612,5,DH1_capacity_state,0.0016928862580283847,DM3_hist_gradient_boosting,capacity_state,0.13454450716500949,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0014651177107555386,DM3_hist_gradient_boosting,pulse,0.000457477583912792,5,persistence,0.0019225952946683306,DM0_persistence,persistence,0.23794793692747077,all,pulse_10ms_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0014651177107555386,DM3_hist_gradient_boosting,pulse,0.0001123671126352188,5,DH2_prior_same_diagnostic_state,0.0015774848233907574,DM3_hist_gradient_boosting,prior_same_diagnostic,0.07123181850566966,all,pulse_10ms_resistance
