target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
capacity_Ah_k1,L2_hist_gradient_boosting,F9_event_segmented_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.2828354534718461,0.30860112581502347,0.2828354534718461,0.2943924917342555,2.1861891666666664,2.4690246201385126,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F7_c_rate_focused,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.279397786239961,0.30043620086282097,0.279397786239961,0.2802627132560822,2.1861891666666664,2.465586952906628,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.27918640933397304,0.2886735864183072,0.27918640933397304,0.258103501059056,2.2150708333333333,2.4942572426673064,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2766117140313496,0.2773144714004019,0.2766117140313496,0.2836949423537106,-0.48400216666666673,-0.20739045263531716,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F4_state_log_age_scalar,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.2764345999580851,0.3465899318366167,0.2764345999580851,0.26587226736729463,2.2871866666666665,2.563621266624752,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.27510324809298625,0.28297564951865384,0.27510324809298625,0.24539466973262614,2.45924325,2.7343464980929864,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.274049023926745,0.28015731356176254,0.274049023926745,0.24997929035249444,2.45924325,2.733292273926745,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F9_event_segmented_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.27361991715120065,0.3462884011957949,0.27361991715120065,0.25973433376557264,2.2871866666666665,2.5608065838178673,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F9_event_segmented_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.2699677504478344,0.3302014892277433,0.2699677504478344,0.25714032434516165,-0.5571718333333334,-0.287204082885499,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F7_c_rate_focused,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.2699209615812355,0.28867467645747175,0.2699209615812355,0.27776168616626973,-0.5564216666666667,-0.2865007050854312,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.2678458594470966,0.27006387230896145,0.2678458594470966,0.25692047000055385,2.45924325,2.7270891094470966,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2663452226718765,0.27630018501226866,0.2663452226718765,0.2515734037102175,2.2150708333333333,2.48141605600521,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,24,cyclic,0.0,approx_10_100,1.67,1.0,0,4,3,0.2658279624222609,0.27406184403412254,0.2658279624222609,0.23468501054469315,2.45924325,2.725071212422261,0.5988023952095809,0.6699999999999999,23,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F9_event_segmented_stress,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2644168745385785,0.26812842135748777,0.2644168745385785,0.2523641603721307,2.2150708333333333,2.4794877078719115,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
