beats_reference,candidate_feature_group,candidate_value,gain,horizon_checkups,metric,model_level,reference_feature_group,reference_value,relative_gain,split_name,target,task
False,D3_predicted_pulse_eis_state,0.1519984401132582,-0.031099934350012834,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.12089850576324536,-0.2572400225600439,voltage_window_holdout_fold,capacity_Ah_kh,capacity_horizon
True,D1_predicted_pulse_state,0.0796451186440524,0.00310403489883454,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08274915354288694,0.03751137946354692,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
True,D2_predicted_eis_state,0.08184534315365925,0.0009038103892276828,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08274915354288694,0.010922291655337105,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.08384197169054196,-0.0010928181476550225,2,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.08274915354288694,-0.013206396692488711,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D1_predicted_pulse_state,0.08000381095492963,-0.0008218496874688591,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07918196126746077,-0.010379253990600407,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D2_predicted_eis_state,0.10130312378890881,-0.022121162521448037,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07918196126746077,-0.27937123768287564,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
False,D3_predicted_pulse_eis_state,0.10255483564430125,-0.023372874376840477,3,mae,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07918196126746077,-0.2951792807694116,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
True,D1_predicted_pulse_state,0.08994635034570612,0.00016966698155741755,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.09011601732726354,0.001882761650920039,all,event_within_3_checkups,threshold_warning
False,D2_predicted_eis_state,0.09410162964428413,-0.00398561231702059,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.09011601732726354,-0.04422756836386277,all,event_within_3_checkups,threshold_warning
False,D3_predicted_pulse_eis_state,0.09571048699487313,-0.005594469667609583,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.09011601732726354,-0.06208074694749124,all,event_within_3_checkups,threshold_warning
False,D1_predicted_pulse_state,0.16904923191870563,-0.015679402221308814,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.15336982969739682,-0.10223263762008952,c_rate_holdout_fold,event_within_3_checkups,threshold_warning
False,D2_predicted_eis_state,0.16813986627340421,-0.014770036576007395,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.15336982969739682,-0.09630340338219787,c_rate_holdout_fold,event_within_3_checkups,threshold_warning
False,D3_predicted_pulse_eis_state,0.16472625270951968,-0.011356423012122863,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.15336982969739682,-0.07404600392743096,c_rate_holdout_fold,event_within_3_checkups,threshold_warning
True,D1_predicted_pulse_state,0.0657700813082924,0.005272192912689308,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07104227422098171,0.07421205149330949,condition_fold,event_within_3_checkups,threshold_warning
True,D2_predicted_eis_state,0.0651796401506334,0.005862634070348302,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07104227422098171,0.08252317559700004,condition_fold,event_within_3_checkups,threshold_warning
True,D3_predicted_pulse_eis_state,0.06713953744258305,0.003902736778398655,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07104227422098171,0.054935414458424196,condition_fold,event_within_3_checkups,threshold_warning
False,D1_predicted_pulse_state,0.09342435592345305,-0.016345026475998045,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.077079329447455,-0.21205460132006537,profile_holdout_fold,event_within_3_checkups,threshold_warning
False,D2_predicted_eis_state,0.07873268565885196,-0.0016533562113969502,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.077079329447455,-0.021450059610651433,profile_holdout_fold,event_within_3_checkups,threshold_warning
False,D3_predicted_pulse_eis_state,0.08553415913435757,-0.00845482968690256,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.077079329447455,-0.109689974569203,profile_holdout_fold,event_within_3_checkups,threshold_warning
True,D1_predicted_pulse_state,0.06987929908435613,0.0032314757714207026,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07311077485577683,0.04419971991536578,temperature_holdout_fold,event_within_3_checkups,threshold_warning
False,D2_predicted_eis_state,0.0763253498190264,-0.003214574963249575,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07311077485577683,-0.043968552782963376,temperature_holdout_fold,event_within_3_checkups,threshold_warning
False,D3_predicted_pulse_eis_state,0.07575562998551263,-0.002644855129735807,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.07311077485577683,-0.036175996423963824,temperature_holdout_fold,event_within_3_checkups,threshold_warning
True,D1_predicted_pulse_state,0.1160912038653802,0.00041217212323595154,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.11650337598861615,0.003537855617816826,voltage_window_holdout_fold,event_within_3_checkups,threshold_warning
False,D2_predicted_eis_state,0.13459936780264448,-0.018095991814028323,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.11650337598861615,-0.15532590073438327,voltage_window_holdout_fold,event_within_3_checkups,threshold_warning
False,D3_predicted_pulse_eis_state,0.13701882830355325,-0.020515452314937094,,brier,DS1_hist_gradient_boosting,D0_capacity_state_reference,0.11650337598861615,-0.17609320022573174,voltage_window_holdout_fold,event_within_3_checkups,threshold_warning
