feature_group,folds,horizon_checkups,max_worst_condition_brier,max_worst_condition_mae,mean_auprc,mean_auroc,mean_brier,mean_condition_mean_brier,mean_condition_mean_mae,mean_ece_10_bin,mean_ece_10_bin_equal_freq,mean_log_loss,mean_mae,mean_rmse,model_level,n_test,split_name,target,task
D2_predicted_eis_state,5,2,,0.5953069166911376,,,,,0.11132156990689952,,,,0.05540076909013575,0.1281409558913608,DS1_hist_gradient_boosting,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,5,2,,0.6180190409980063,,,,,0.11404806454903008,,,,0.0549149662480682,0.12412810459256711,DS1_hist_gradient_boosting,3599,condition_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,1,2,,0.46954306376320326,,,,,0.12351676606286259,,,,0.08021194053642684,0.14000889645258377,DS0_regularized_linear,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,1,2,,0.46306027015736323,,,,,0.12605806770299555,,,,0.08411962073725095,0.14137515794271857,DS0_regularized_linear,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,1,2,,0.46752620290565616,,,,,0.12392737225759005,,,,0.08090448737922112,0.14008177511035552,DS0_regularized_linear,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.4630790913282414,,,,,0.12613864849594805,,,,0.08428392623160733,0.1413332133266686,DS0_regularized_linear,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,1,2,,0.4887547195003878,,,,,0.10736979200698575,,,,0.059250081724082214,0.13249408683499178,DS1_hist_gradient_boosting,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,1,2,,0.5094347643989631,,,,,0.11357474086285473,,,,0.06350444320723209,0.13006128577392725,DS1_hist_gradient_boosting,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,1,2,,0.4756229841553148,,,,,0.11221613498043383,,,,0.06886064308982323,0.13935114068037896,DS1_hist_gradient_boosting,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,1,2,,0.47702005566355693,,,,,0.10210988135222905,,,,0.056931299572139424,0.13078560562200664,DS1_hist_gradient_boosting,716,profile_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,2,2,,0.6824185455602195,,,,,0.18390542419957867,,,,0.08942594166543538,0.15429750955109994,DS0_regularized_linear,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,2,2,,0.6833600608032432,,,,,0.18435552336596758,,,,0.08974269675963908,0.15448854225403655,DS0_regularized_linear,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,2,2,,0.6609399412882695,,,,,0.1809934817397052,,,,0.09344147181523135,0.1531737954415238,DS0_regularized_linear,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,2,2,,0.6605526204908231,,,,,0.1818693128402591,,,,0.09375846261716983,0.15375709213223998,DS0_regularized_linear,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,2,2,,0.5896903875193239,,,,,0.12560264377907823,,,,0.05299315379984661,0.13284861778014595,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,2,2,,0.45246992869030206,,,,,0.11475928562678439,,,,0.05229268403538115,0.12992423237419737,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,2,2,,0.6201388255146979,,,,,0.11840594344560323,,,,0.05129467092272188,0.12706856648177117,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,2,2,,0.6302263816297403,,,,,0.1192073451013298,,,,0.0509029698618007,0.12740820706624534,DS1_hist_gradient_boosting,1688,temperature_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,3,2,,0.7934987516399971,,,,,0.1475726496833017,,,,0.08232072175180792,0.12843497512591448,DS0_regularized_linear,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,3,2,,0.7750437911122185,,,,,0.1504788403257511,,,,0.08756624355296762,0.13349975782201484,DS0_regularized_linear,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,3,2,,0.788531691021162,,,,,0.1524829446146488,,,,0.08719205001655972,0.13535305821865026,DS0_regularized_linear,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,3,2,,0.7736384032200135,,,,,0.15545175742883793,,,,0.09281877422551736,0.13970060257056113,DS0_regularized_linear,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,3,2,,0.6748523876034263,,,,,0.14419562358842397,,,,0.08274915354288694,0.14732351660640008,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,3,2,,0.6452747817331222,,,,,0.138452236166124,,,,0.0796451186440524,0.13613620535574225,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,3,2,,0.6143902464435116,,,,,0.14170966015814204,,,,0.08184534315365925,0.13974950390921362,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,3,2,,0.6921434822341461,,,,,0.1455208166831126,,,,0.08384197169054196,0.13722356056538446,DS1_hist_gradient_boosting,3599,voltage_window_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,1,3,,0.4458080341208192,,,,,0.28065421786831657,,,,0.24150847553457733,0.29781428424184486,DS0_regularized_linear,87,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D1_predicted_pulse_state,1,3,,0.44914870700447995,,,,,0.2811626697250219,,,,0.24147275089720088,0.2983188857506367,DS0_regularized_linear,87,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D2_predicted_eis_state,1,3,,0.4381632132482182,,,,,0.2794525580887421,,,,0.24355738013127984,0.2966154511209217,DS0_regularized_linear,87,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D3_predicted_pulse_eis_state,1,3,,0.43196810787437556,,,,,0.27827685281463216,,,,0.2431914575247234,0.2960626304976171,DS0_regularized_linear,87,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
D0_capacity_state_reference,1,3,,0.47364009289597186,,,,,0.27978721651337557,,,,0.23246830365851917,0.33267638940244354,DS1_hist_gradient_boosting,87,c_rate_holdout_fold,delta_capacity_Ah_h,capacity_horizon
