target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,prior_pulse_source_report,best_nonpulse_feature_group,best_nonpulse_source_report,best_nonpulse_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,4,14,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006479724607677355,0.007035121966951827,-0.0005553973592744722,84,40.0,calendar_soc_50,0.0,calendar
capacity_Ah_k1,condition_fold,4,19,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.14889051949780863,0.14449746659276871,0.0043930529050399125,6,0.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,condition_fold,4,23,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.2284192255821097,0.24265208913923042,-0.014232863557120723,6,0.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,4,38,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.030783646104674812,0.023710790482097854,0.007072855622576958,60,10.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,4,40,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07253430700507393,0.07432722074769084,-0.0017929137426169056,15,10.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,4,44,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06785379696772627,0.08310655185004097,-0.0152527548823147,6,25.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,condition_fold,4,45,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.013288268874472658,0.015149526000310418,-0.0018612571258377602,84,25.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,4,47,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05135162542200179,0.059812407956055816,-0.008460782534054023,31,25.0,approx_10_100,1.0,cyclic
capacity_Ah_k1,condition_fold,4,51,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03093727952479336,0.026915083242891092,0.004022196281902268,63,25.0,approx_10_90,1.0,cyclic
capacity_Ah_k1,condition_fold,4,52,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04967587971403596,0.060429035079234424,-0.010753155365198462,28,25.0,approx_10_90,1.67,cyclic
