target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,1,60,-0.11351658117172003,16,40.0,approx_10_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.13459830286785135,0.24811488403957138,best_stress
capacity_Ah_k1,condition_fold,1,63,-0.010225923210066941,81,40.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03230961734787584,0.04253554055794278,best_stress
capacity_Ah_k1,condition_fold,2,1,-0.015985778148296603,84,0.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.007067499160721078,0.02305327730901768,best_stress
capacity_Ah_k1,condition_fold,2,6,-0.00013162904237591037,84,10.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0060769499135287005,0.006208578955904611,best_stress
capacity_Ah_k1,condition_fold,2,9,-0.021281379761848334,84,25.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0064682555250576606,0.027749635286905994,best_stress
capacity_Ah_k1,condition_fold,2,13,-0.006731003224195297,84,40.0,calendar_soc_10,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006270701358483833,0.01300170458267913,best_stress
capacity_Ah_k1,condition_fold,2,16,0.04556259615363132,78,40.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06373931775701845,0.018176721603387132,best_stress
capacity_Ah_k1,condition_fold,2,17,-0.03139946406877599,24,0.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04667418713081736,0.07807365119959335,best_stress
capacity_Ah_k1,condition_fold,2,21,-0.011394197037253626,43,0.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04547127365216837,0.05686547068942199,best_stress
capacity_Ah_k1,condition_fold,2,26,-0.02547483160439181,33,0.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.03770115306990599,0.0631759846742978,best_stress
capacity_Ah_k1,condition_fold,2,27,-0.10261827296339028,15,0.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07261553713121173,0.175233810094602,best_stress
capacity_Ah_k1,condition_fold,2,32,-0.03767181781167342,6,10.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.12971002143769683,0.16738183924937025,best_stress
capacity_Ah_k1,condition_fold,2,49,-0.020819997325976697,84,25.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.012015510545708999,0.032835507871685696,best_stress
capacity_Ah_k1,condition_fold,2,55,0.002393062084317915,22,40.0,approx_0_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.07911290573041146,0.07671984364609355,best_stress
capacity_Ah_k1,condition_fold,2,62,-0.015117729408543158,84,40.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.006160009324477207,0.021277738733020364,best_stress
capacity_Ah_k1,condition_fold,2,66,-0.02855198160297564,84,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.032212902022124866,0.060764883625100505,best_stress
capacity_Ah_k1,condition_fold,2,76,0.07671559148040222,83,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.10457444526926006,0.02785885378885784,best_stress
capacity_Ah_k1,condition_fold,3,7,-0.005729457737289982,84,10.0,calendar_soc_90,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.004036252562492589,0.00976571029978257,best_stress
capacity_Ah_k1,condition_fold,3,12,-0.01979362665109256,78,25.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.009085825329865429,0.02887945198095799,best_stress
capacity_Ah_k1,condition_fold,3,22,-0.054824508916352085,22,0.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.06080707797203015,0.11563158688838224,best_stress
