target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,3,67,-0.06841628221295953,15,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.14468168462861303,0.21309796684157256,hgb_f4
capacity_Ah_k1,condition_fold,3,71,-0.0130846574912439,84,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.014906539626070168,0.027991197117314067,hgb_f4
capacity_Ah_k1,condition_fold,3,74,-0.01537115310722656,48,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.05939300692560184,0.0747641600328284,hgb_f4
capacity_Ah_k1,condition_fold,4,2,-0.017422193234414497,84,0.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.00477448456016525,0.022196677794579747,hgb_f4
capacity_Ah_k1,condition_fold,4,4,-0.017098566780962852,84,0.0,calendar_soc_100,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.004136387473768152,0.021234954254731004,hgb_f4
capacity_Ah_k1,condition_fold,4,14,-0.014887144391098226,84,40.0,calendar_soc_50,0.0,calendar,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.009155620116814008,0.024042764507912234,hgb_f4
capacity_Ah_k1,condition_fold,4,19,-0.06984099357933665,6,0.0,approx_0_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.14626338025550714,0.2161043738348438,hgb_f4
capacity_Ah_k1,condition_fold,4,23,-0.11014870387118242,6,0.0,approx_10_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.2588867309972366,0.369035434868419,hgb_f4
capacity_Ah_k1,condition_fold,4,38,-0.014025841262971236,60,10.0,approx_10_90,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.02400611005213189,0.038031951315103125,hgb_f4
capacity_Ah_k1,condition_fold,4,40,-0.07756430294303537,15,10.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.08739959754365198,0.16496390048668735,hgb_f4
capacity_Ah_k1,condition_fold,4,44,-0.09934171061746146,6,25.0,approx_0_100,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06400727498404908,0.16334898560151054,hgb_f4
