agreement_within_1_checkup,agreement_within_2_checkups,detector_a,detector_b,mean_abs_disagreement_checkups,median_abs_disagreement_checkups,n_cells,smoothing_policy,x_axis
0.3862433862433862,0.4603174603174603,slope_change_threshold,two_line_l_method,5.915343915343915,3.0,189,none,log_age_efc_cumulative
0.7415730337078652,0.9213483146067416,capacity_threshold_60,capacity_threshold_70,1.2247191011235956,1.0,89,rolling_3,log_age_efc_cumulative
0.15730337078651685,0.3707865168539326,capacity_threshold_60,capacity_threshold_80,5.359550561797753,4.0,89,rolling_3,log_age_efc_cumulative
0.12359550561797752,0.5617977528089888,capacity_threshold_60,max_chord_distance,3.157303370786517,2.0,89,rolling_3,log_age_efc_cumulative
0.2159090909090909,0.7840909090909091,capacity_threshold_60,piecewise_linear_bic,2.7045454545454546,2.0,88,rolling_3,log_age_efc_cumulative
0.5842696629213483,0.5955056179775281,capacity_threshold_60,slope_change_threshold,6.629213483146067,1.0,89,rolling_3,log_age_efc_cumulative
0.2159090909090909,0.7840909090909091,capacity_threshold_60,two_line_l_method,2.7045454545454546,2.0,88,rolling_3,log_age_efc_cumulative
0.3565217391304348,0.4782608695652174,capacity_threshold_70,capacity_threshold_80,4.156521739130435,3.0,115,rolling_3,log_age_efc_cumulative
0.48695652173913045,0.7913043478260869,capacity_threshold_70,max_chord_distance,3.008695652173913,2.0,115,rolling_3,log_age_efc_cumulative
0.6330275229357798,0.8256880733944955,capacity_threshold_70,piecewise_linear_bic,2.9357798165137616,1.0,109,rolling_3,log_age_efc_cumulative
0.45217391304347826,0.4782608695652174,capacity_threshold_70,slope_change_threshold,6.678260869565217,3.0,115,rolling_3,log_age_efc_cumulative
0.6330275229357798,0.8256880733944955,capacity_threshold_70,two_line_l_method,2.9357798165137616,1.0,109,rolling_3,log_age_efc_cumulative
0.4246575342465753,0.5342465753424658,capacity_threshold_80,max_chord_distance,4.623287671232877,2.0,146,rolling_3,log_age_efc_cumulative
0.39855072463768115,0.47101449275362317,capacity_threshold_80,piecewise_linear_bic,5.36231884057971,3.0,138,rolling_3,log_age_efc_cumulative
0.19863013698630136,0.2876712328767123,capacity_threshold_80,slope_change_threshold,7.684931506849315,6.0,146,rolling_3,log_age_efc_cumulative
0.39855072463768115,0.47101449275362317,capacity_threshold_80,two_line_l_method,5.36231884057971,3.0,138,rolling_3,log_age_efc_cumulative
0.8095238095238095,0.9470899470899471,max_chord_distance,piecewise_linear_bic,1.0582010582010581,1.0,189,rolling_3,log_age_efc_cumulative
0.24242424242424243,0.3434343434343434,max_chord_distance,slope_change_threshold,6.0606060606060606,6.0,198,rolling_3,log_age_efc_cumulative
0.8095238095238095,0.9470899470899471,max_chord_distance,two_line_l_method,1.0582010582010581,1.0,189,rolling_3,log_age_efc_cumulative
0.26455026455026454,0.3544973544973545,piecewise_linear_bic,slope_change_threshold,6.211640211640212,5.0,189,rolling_3,log_age_efc_cumulative
1.0,1.0,piecewise_linear_bic,two_line_l_method,0.0,0.0,189,rolling_3,log_age_efc_cumulative
0.26455026455026454,0.3544973544973545,slope_change_threshold,two_line_l_method,6.211640211640212,5.0,189,rolling_3,log_age_efc_cumulative
