aging_mode,event_spread_checkups,median_event_checkup_k,n_reaching_threshold,n_replicates,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,replicate_consistent_within_1_checkup,replicate_consistent_within_2_checkups,threshold_label,voltage_window_family
cyclic,1,9.0,3,3,1.0,1.0,25.0,47,0,True,True,capacity_below_80pct_initial,approx_10_100
cyclic,0.0,3.0,1,3,1.67,1.0,25.0,48,0,True,True,capacity_below_80pct_initial,approx_10_100
cyclic,,,0,3,0.33,0.33,25.0,49,0,False,False,capacity_below_80pct_initial,approx_10_90
cyclic,,,0,3,0.33,1.0,25.0,50,0,False,False,capacity_below_80pct_initial,approx_10_90
cyclic,2,14.0,3,3,1.0,1.0,25.0,51,0,False,True,capacity_below_80pct_initial,approx_10_90
cyclic,5,7.0,3,3,1.67,1.0,25.0,52,0,False,False,capacity_below_80pct_initial,approx_10_90
cyclic,0,9.0,3,3,0.33,0.33,40.0,53,0,True,True,capacity_below_80pct_initial,approx_0_100
cyclic,0,8.0,3,3,0.33,1.0,40.0,54,0,True,True,capacity_below_80pct_initial,approx_0_100
cyclic,0,5.0,3,3,1.0,1.0,40.0,55,0,True,True,capacity_below_80pct_initial,approx_0_100
cyclic,1,4.0,3,3,1.67,1.0,40.0,56,0,True,True,capacity_below_80pct_initial,approx_0_100
cyclic,0,10.0,3,3,0.33,0.33,40.0,57,0,True,True,capacity_below_80pct_initial,approx_10_100
cyclic,1,9.0,3,3,0.33,1.0,40.0,58,0,True,True,capacity_below_80pct_initial,approx_10_100
cyclic,1,5.0,3,3,1.0,1.0,40.0,59,0,True,True,capacity_below_80pct_initial,approx_10_100
cyclic,2,5.0,3,3,1.67,1.0,40.0,60,0,False,True,capacity_below_80pct_initial,approx_10_100
cyclic,2,26.0,3,3,0.33,0.33,40.0,61,0,False,True,capacity_below_80pct_initial,approx_10_90
cyclic,1,21.0,3,3,0.33,1.0,40.0,62,0,True,True,capacity_below_80pct_initial,approx_10_90
cyclic,3,13.0,3,3,1.0,1.0,40.0,63,0,False,False,capacity_below_80pct_initial,approx_10_90
cyclic,2,9.0,3,3,1.67,1.0,40.0,64,0,False,True,capacity_below_80pct_initial,approx_10_90
profile,0,8.0,3,3,0.0,0.0,0.0,65,2,True,True,capacity_below_80pct_initial,approx_0_100
profile,3,12.0,3,3,0.0,0.0,0.0,66,3,False,False,capacity_below_80pct_initial,approx_0_100
profile,1,3.0,3,3,0.0,0.0,0.0,67,4,True,True,capacity_below_80pct_initial,approx_0_100
profile,1,8.0,3,3,0.0,0.0,10.0,68,2,True,True,capacity_below_80pct_initial,approx_0_100
profile,0,12.0,3,3,0.0,0.0,10.0,69,3,True,True,capacity_below_80pct_initial,approx_0_100
