run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.16052531152436345,0.1829689871230921,-0.16052392095040582,0.16148989378281253,0.11074689166409936,0.31627813046268105
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.07625761784761585,0.12285078545765196,0.03286985959219766,0.1025157883233301,0.07764103216483731,0.21193834940315578
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.026691896873714233,0.06797161101231732,-0.0038216121664246235,0.04088863554975263,0.027596487703603557,0.19019322278929923
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.02022222838502279,0.061486380405298906,0.0010642537339995736,0.03778654425497253,0.02180368512713405,0.1379582379271618
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.022090922540082353,0.049533053772155104,-0.009644317632315165,0.032679277424501704,0.02637705202122707,0.08825716991140387
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.03466536585024236,0.07787586932656845,0.009074943640767368,0.059239548718747266,0.05665682410616893,0.17343138424719065
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.022108908723094713,0.044199749792502095,-0.0034802261848896764,0.037907406046335586,0.04855230203144124,0.07049164436504578
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.024693078024119398,0.07077517243883674,0.011234177916444764,0.05301253618604369,0.048375590181849476,0.14762688345553496
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.034672938272910944,0.078890821677965,-0.009060351707065234,0.04435487338182179,0.03652658588822876,0.14112844558821513
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.07054385388941378,0.11072875327504218,-0.022114484401347525,0.09199578447155392,0.08144499388991133,0.20047643615571395
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.11269422546473616,0.13514266428996424,-0.09201915704915688,0.12252652424724561,0.1244480311390758,0.22343841235845482
