run_scope,model_level,feature_group,split_name,heldout_fold,target,direct_path,derived_path,direct_mae,derived_mae,derived_minus_direct_mae,derived_better,direct_condition_mean_mae,derived_condition_mean_mae,derived_minus_direct_condition_mean_mae
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,4,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.022811136778232502,0.030653811925909383,0.007842675147676881,False,0.03740465501714758,0.06161682732615833,0.02421217230901075
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.030469082752947924,0.025600066499479896,-0.004869016253468028,True,0.07061434193420002,0.05096569744140778,-0.019648644492792237
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.025600066499479907,0.030469082752947924,0.004869016253468018,False,0.05096569744140779,0.07061434193420002,0.01964864449279223
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04365151681185464,0.03572260366766315,-0.007928913144191488,True,0.06043657016886689,0.04675710622088144,-0.01367946394798545
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03572260366766315,0.04365151681185464,0.007928913144191488,False,0.04675710622088144,0.06043657016886689,0.01367946394798545
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.06855770329877638,0.07085678021123928,0.002299076912462908,False,0.10324550080457837,0.09338510861176343,-0.00986039219281494
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.07085678021123928,0.06855770329877638,-0.002299076912462908,True,0.09338510861176344,0.10324550080457837,0.009860392192814926
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.09410416664025881,0.11110531198189352,0.017001145341634716,False,0.12129583491610724,0.12494545241789738,0.003649617501790145
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.11110531198189352,0.09410416664025881,-0.017001145341634716,True,0.12494545241789737,0.12129583491610724,-0.003649617501790131
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.29427900843614957,0.20830699892468482,-0.08597200951146475,True,0.29561563952641673,0.20861720230586664,-0.08699843722055009
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.20830699892468482,0.29427900843614957,0.08597200951146475,False,0.20861720230586664,0.29561563952641673,0.08699843722055009
primary,L2_hist_gradient_boosting,F6_coupled_stress,c_rate_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.08821333355968536,0.07673710686748358,-0.011476226692201774,True,0.1238989099943343,0.10254128410922402,-0.021357625885110282
primary,L2_hist_gradient_boosting,F6_coupled_stress,c_rate_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.07673710686748358,0.08821333355968536,0.011476226692201774,False,0.10254128410922403,0.1238989099943343,0.021357625885110268
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,0,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.031962447426067554,0.025698384745601828,-0.006264062680465726,True,0.04556781666694119,0.03850655810721207,-0.007061258559729118
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,0,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.025698384745601825,0.031962447426067554,0.00626406268046573,False,0.03850655810721206,0.04556781666694119,0.007061258559729125
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.021825731657396027,0.02054526779388077,-0.0012804638635152583,True,0.03924435374925147,0.038545526298207664,-0.0006988274510438056
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.020545267793880766,0.021825731657396027,0.0012804638635152618,False,0.03854552629820767,0.03924435374925147,0.0006988274510437986
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.031374147649055814,0.022894465211615592,-0.008479682437440222,True,0.04372471126857284,0.031983508485442486,-0.011741202783130351
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.022894465211615582,0.031374147649055814,0.008479682437440232,False,0.031983508485442486,0.04372471126857284,0.011741202783130351
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04404041297793635,0.035625590627824104,-0.008414822350112247,True,0.07980957971870857,0.06272921352193803,-0.017080366196770544
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03562559062782411,0.04404041297793635,0.00841482235011224,False,0.06272921352193804,0.07980957971870857,0.01708036619677053
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,4,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.027090197852011052,0.022251662643260846,-0.004838535208750206,True,0.05630423154880946,0.039511518597911584,-0.016792712950897876
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,4,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.022251662643260846,0.027090197852011052,0.004838535208750206,False,0.03951151859791158,0.05630423154880946,0.016792712950897883
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.03077742705265735,0.025467563772161576,-0.005309863280495774,True,0.06936377152884358,0.05296795460180178,-0.016395816927041805
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.02546756377216158,0.03077742705265735,0.0053098632804957704,False,0.05296795460180178,0.06936377152884358,0.016395816927041805
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.043389141806600084,0.033041012136719165,-0.01034812966988092,True,0.05886846260629801,0.04317545936681606,-0.015693003239481945
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03304101213671917,0.043389141806600084,0.010348129669880912,False,0.04317545936681607,0.05886846260629801,0.015693003239481938
