run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.02817339258122168,0.061626609764848635,-0.01111809533020072,0.045021006215956554,0.025568692279744433,0.153056836967718
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04680199556062498,0.1044295357673435,0.009117233431986888,0.09031325257107041,0.07668950582993475,0.3111204066897637
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.033785656245911566,0.07149969347458729,-0.003503186981540932,0.07372444941916449,0.05510878835442294,0.29352690901121214
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.03337123209027086,0.09274577617341453,0.014426817569574753,0.07724824862344466,0.05814646067308108,0.331303668598275
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.04150938348416262,0.09761277838106074,0.002453626943128676,0.06374948875162186,0.058179248611644585,0.19306029692335258
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.09648399734221771,0.14117542209669234,-0.04900576989325597,0.1343916228008928,0.14152691806747708,0.3170874098654097
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.07827526294295285,0.11888046284625334,-0.037803911251447594,0.11941601930823768,0.10504324713247887,0.4344824886292166
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.13913288385839534,0.18263691316298664,-0.13755493282457726,0.13997557485922987,0.11570314496527628,0.2860870219732367
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.08814494356804406,0.14958573796285973,0.06010111117549504,0.12244211150469492,0.10792304693682522,0.2539914861259202
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.032686756097939695,0.07891412490812968,-0.00955265923555754,0.046556445210339005,0.04422697499776612,0.13138253253207222
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.022533923360733957,0.06261283721494044,0.0006558968409881749,0.03989094716143135,0.02385236587003485,0.1447468169245517
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.03073058940174531,0.06764103353032686,-0.01663940329210908,0.04458338582344426,0.03624087974061292,0.13959494570760855
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.043518861397042675,0.09371023746470994,0.0059223453703261845,0.08010937726556579,0.06545544092561961,0.2578082469271345
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.027769484071269085,0.05899394378482129,-0.003587623863688435,0.05672286548112605,0.050437108026048366,0.2468266202783385
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.031214067377764453,0.0845994286997158,0.006874433533026264,0.06977724888847443,0.051862488571390974,0.27110814311431214
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.043067854414281785,0.09484164708596113,-0.010878659564442117,0.0587580385946008,0.05241944035723132,0.14394059736873638
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06918518009339505,0.1111422058074203,-0.021087615762348078,0.10413229949594718,0.08154348661892635,0.2521543111994277
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.09922740733488662,0.12859783451541745,-0.06406561736544772,0.12545714119625248,0.12247422737022834,0.3975072092653042
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.2810315194362045,0.3401725291297613,-0.2810315194362045,0.2823520155458958,0.33969098432266864,0.41067939456658337
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.09752814890508459,0.1643093889767878,0.07685466494887828,0.14060992544384518,0.12305653445738605,0.2828354534718461
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.02939109594465859,0.07539498619628521,-0.0065833862608133805,0.04159489264288374,0.0372767997458678,0.11340006648967998
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.022161894702615873,0.06394916701801896,0.0029164108864052564,0.04210046921127165,0.02474058997382393,0.13080825668687585
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.031720486325581075,0.07768706295995731,-0.018490487451214024,0.04575205749319279,0.038175558904966635,0.15513329690154037
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04317818046758668,0.09774544962202952,0.007362563285281052,0.08317670820087501,0.06367050332966238,0.29423298088063987
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.030401345644584084,0.06398948702552526,-0.0020628417435160132,0.0637772803725781,0.04303107012803697,0.2720587473287333
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.034343974253784014,0.08544619459392218,0.006149864257719499,0.07481075740709404,0.05241147860209774,0.3051672746513189
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.045365149179460794,0.09766242821175465,-0.008490414139031607,0.06223908579828458,0.057780661654042505,0.1518982185678292
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06728438276175967,0.11472783905161041,-0.00558920965009202,0.1153064436872473,0.09145665486649046,0.37337415052858464
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.09447227268753967,0.1303877432352283,-0.05928714120063765,0.13033958765076048,0.11992563343248733,0.4227623207430062
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.3020993329078794,0.3611993809773541,-0.3020993329078794,0.3037164202966716,0.35846678386268344,0.4526583951188319
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.14180156922663784,0.24480546655232555,0.12305732738416783,0.19667395952279967,0.1865362833054887,0.3915093902109912
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.028624386888916692,0.07280806070185025,0.004994448717406603,0.05078447984207703,0.035473997066434455,0.1672307535265577
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.025416208706465673,0.08026905774142842,0.0083762494896181,0.04968861726349281,0.026709774629790278,0.1862920441546687
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.024563858817460982,0.06252219914042605,-0.00163056044788731,0.04782026244669468,0.02803217998658763,0.24009264803612076
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04781299105409313,0.12902818186282372,0.028110264573007925,0.09665274298397422,0.08800299132027756,0.3209224255912581
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.03297584513937315,0.09651942332414418,0.0028169581009835415,0.08301330478071794,0.04098386448661184,0.32426298067700704
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.03767944764430408,0.11337848008958026,0.019888773040340035,0.10014022490491459,0.07822172375324467,0.3416182965206529
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.035234460049833945,0.1026257527706974,0.012382026112071058,0.05821279529397588,0.044669457956201405,0.1833873239170112
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06663774645136662,0.11656609133702704,0.01577560490387415,0.12873121676290958,0.07617394367356442,0.4037150835632553
