run_scope,model_level,target,split_name,from_feature_group,to_feature_group,f4_condition_mean_mae,feature_condition_mean_mae,condition_mean_mae_gain,f4_worst_condition_mae,feature_worst_condition_mae,success_vs_f4
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.06713249775867468,0.062378754749758444,0.004753743008916234,0.37599741355529953,0.33051580131148844,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.06713249775867468,0.06559188146339133,0.001540616295283348,0.37599741355529953,0.32426298067700704,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.08479246659914189,0.08048521238655268,0.004307254212589207,0.352940910904298,0.26930039456550187,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.08479246659914189,0.07496352886347879,0.009828937735663096,0.352940910904298,0.24456827507716825,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.08479246659914189,0.07889681461256853,0.0058956519865733525,0.352940910904298,0.3545004624783954,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.08479246659914189,0.07504619879494823,0.009746267804193659,0.352940910904298,0.2701022891861535,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.08479246659914189,0.07762679263870029,0.007165673960441599,0.352940910904298,0.279255439541278,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.08479246659914189,0.07917651009944524,0.0056159564996966505,0.352940910904298,0.3416182965206529,True
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.11269952561628233,0.18853267288868067,-0.07583314727239834,0.4191854168842489,0.44670441485897616,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.11269952561628233,0.17504405177783114,-0.06234452616154881,0.4191854168842489,0.36804538906509815,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.11269952561628233,0.12958092294244414,-0.016881397326161812,0.4191854168842489,0.3687127343612537,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.11269952561628233,0.1630257061391184,-0.05032618052283608,0.4191854168842489,0.3773604768129481,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.11269952561628233,0.18807004585360776,-0.07537052023732543,0.4191854168842489,0.474828921390919,False
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.11269952561628233,0.09497539201403933,0.017724133602242995,0.4191854168842489,0.4037150835632553,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.1823307773049594,0.1591721521021324,0.023158625202826993,0.3748515528992455,0.34503406352606697,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.1823307773049594,0.17834662484819622,0.003984152456763174,0.3748515528992455,0.3802453050891436,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.1823307773049594,0.18657518067946963,-0.004244403374510236,0.3748515528992455,0.39352753857913436,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.1823307773049594,0.15322501864178073,0.02910575866317866,0.3748515528992455,0.32200357486969206,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.1823307773049594,0.17947156067033002,0.0028592166346293746,0.3748515528992455,0.3729470939709158,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.1823307773049594,0.19023592837514894,-0.007905151070189548,0.3748515528992455,0.39305486409882356,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.05577533212329459,0.04941776033074378,0.006357571792550809,0.31766219481212193,0.31421215716577294,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F6_coupled_stress,0.05577533212329459,0.049103733995074575,0.006671598128220012,0.31766219481212193,0.2673423704751325,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.05577533212329459,0.060247617636519514,-0.004472285513224927,0.31766219481212193,0.29026121003199684,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.05577533212329459,0.04766444608632939,0.0081108860369652,0.31766219481212193,0.2875809189476237,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.05577533212329459,0.053724074173701473,0.0020512579495931133,0.31766219481212193,0.25947591406839315,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.05577533212329459,0.061162344769621055,-0.005387012646326468,0.31766219481212193,0.3029953475937824,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.06911307266029151,0.06743982200325227,0.0016732506570392436,0.2549572231665879,0.21724904314632473,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.06911307266029151,0.07772896027705245,-0.008615887616760937,0.2549572231665879,0.2659427980336431,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.06911307266029151,0.07475868471665098,-0.005645612056359467,0.2549572231665879,0.3140606341264132,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.06911307266029151,0.06726676282523353,0.0018463098350579854,0.2549572231665879,0.2324203904933847,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.06911307266029151,0.06771374954028073,0.001399323120010787,0.2549572231665879,0.25544209522026945,True
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.06911307266029151,0.07791638984067488,-0.008803317180383366,0.2549572231665879,0.3450833466703225,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.07353178771083739,0.14001083917959803,-0.06647905146876064,0.37189696633360736,0.31754469724574835,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.07353178771083739,0.1421560701035189,-0.06862428239268152,0.37189696633360736,0.32905667963267093,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.07353178771083739,0.08336628044116873,-0.009834492730331337,0.37189696633360736,0.3241355796780753,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.07353178771083739,0.13058158770251235,-0.05704979999167496,0.37189696633360736,0.31313524155239936,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.07353178771083739,0.14902519290424607,-0.07549340519340868,0.37189696633360736,0.37549384750818304,False
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.07353178771083739,0.07058334861661979,0.002948439094217603,0.37189696633360736,0.35639919616366195,True
