diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,persistence,2,0.000270968894724821,0.00018747473245320104,0.0004172203775559532,DM0_persistence,12,all,nyquist_im_peak_abs,9504,0.001126025
eis,train_mean,2,0.00043645146966392865,0.00039109636290679664,0.0006230001970487156,DM1_train_mean,12,all,nyquist_im_peak_abs,9504,0.0013330320889594917
eis,DH0_time_nominal,2,0.0004090594502104314,0.0003828355663501471,0.0006057096577725882,DM2_ridge,12,all,nyquist_im_peak_abs,9504,0.0013485996679549483
eis,DH1_capacity_state,2,0.0004456236646571239,0.00039013380838140167,0.0006100843812476499,DM2_ridge,12,all,nyquist_im_peak_abs,9504,0.001332814478200051
eis,DH2_prior_same_diagnostic_state,2,0.00024097885953701042,0.00021711887603631635,0.00043061486816285043,DM2_ridge,12,all,nyquist_im_peak_abs,9504,0.0010814993134764502
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0002668397971231455,0.00022581702256617927,0.0004343113824317448,DM2_ridge,12,all,nyquist_im_peak_abs,9504,0.0010699149996367015
eis,DH0_time_nominal,2,0.00042089064648050595,0.0004090980780400147,0.0006594627793133197,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,9504,0.0019614386160195746
eis,DH1_capacity_state,2,0.00041637622323521936,0.00038793808802601275,0.0006130814592541256,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,9504,0.0012103403670420832
eis,DH2_prior_same_diagnostic_state,2,0.00025995254051032425,0.00024133112044078276,0.0005064304527509188,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,9504,0.0014443879630083186
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0002418304403410132,0.0002072186474784929,0.00044698855679399475,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,9504,0.0010338801267003152
eis,persistence,3,0.0002754186025493276,0.0002069669398286526,0.00046152481889067835,DM0_persistence,12,all,nyquist_im_peak_abs,8873,0.0013644324324324324
eis,train_mean,3,0.00042856954915052086,0.0003916990826824504,0.0006321150125960195,DM1_train_mean,12,all,nyquist_im_peak_abs,8873,0.0014225457502957503
eis,DH0_time_nominal,3,0.0004247986384673952,0.0003853399674258381,0.000616015693845353,DM2_ridge,12,all,nyquist_im_peak_abs,8873,0.0014536354328824426
eis,DH1_capacity_state,3,0.0004445446289386213,0.00039531641190044463,0.0006241901449874255,DM2_ridge,12,all,nyquist_im_peak_abs,8873,0.001452562149095012
eis,DH2_prior_same_diagnostic_state,3,0.0002604662935534933,0.00023362759574475242,0.00047298383349917073,DM2_ridge,12,all,nyquist_im_peak_abs,8873,0.0012496345965411014
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.0002835840862668396,0.0002510679301404073,0.0004819409839413523,DM2_ridge,12,all,nyquist_im_peak_abs,8873,0.001255868945705447
eis,DH0_time_nominal,3,0.00043445277005572225,0.0004201938751600798,0.0006795616823559628,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,8873,0.0019214213920718964
eis,DH1_capacity_state,3,0.00043079726308844227,0.0003997439129679766,0.0006374596904753846,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,8873,0.001330106321666085
eis,DH2_prior_same_diagnostic_state,3,0.00030116312328589643,0.00029018368798940845,0.0005733543979728146,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,8873,0.0020315649136173814
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.00026656304465542344,0.00023740573398564735,0.0004942831452736553,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,8873,0.0012281928359104404
eis,persistence,5,0.000372521822500958,0.000242154533630051,0.0005237104946603958,DM0_persistence,12,all,nyquist_im_peak_abs,7771,0.001750225806451613
eis,train_mean,5,0.00047938020348124786,0.00040117244784045893,0.0006594984288262271,DM1_train_mean,12,all,nyquist_im_peak_abs,7771,0.001653013785628139
