split_name,target,horizon_checkups,model_level,feature_group,contrast_family,contrast_rows,rank_evaluable_contrasts,spearman_r,kendall_tau_b,status,claim_scope
profile_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,profile,12,12,0.8741258741258742,0.7272727272727273,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,18,18,0.7812177502579979,0.5947712418300654,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,all,30,30,0.9741935483870969,0.8804597701149425,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,profile,12,12,0.965034965034965,0.8787878787878788,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,temperature,18,18,0.9174406604747161,0.7777777777777778,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,30,30,0.9145717463848723,0.7701149425287356,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,profile,12,12,0.965034965034965,0.8787878787878788,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,18,18,0.7977296181630547,0.5947712418300654,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,30,30,0.9359288097886542,0.8114942528735632,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.916083916083916,0.7878787878787878,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,18,18,0.8679050567595458,0.738562091503268,evaluated,prospective_supported_contrast_diagnostic
