split_name,target,horizon_checkups,model_level,feature_group,contrast_family,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,mean_effect_abs_error,median_effect_abs_error,observed_tie_rows,predicted_tie_rows,claim_scope
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,all,27,11,27,24,0.8888888888888888,0.3130975329264267,0.2588089039014178,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,temperature,18,7,18,16,0.8888888888888888,0.3325785195003256,0.29182287374231625,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,voltage_window,9,4,9,8,0.8888888888888888,0.27413555977862913,0.22360478736216743,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K3_oracle_exposure_diagnostic,all,27,11,27,27,1.0,0.14302061749676243,0.1222379810620387,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K3_oracle_exposure_diagnostic,temperature,18,7,18,18,1.0,0.1145501370202854,0.11736669155663135,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K3_oracle_exposure_diagnostic,voltage_window,9,4,9,9,1.0,0.1999615784497165,0.13780390179430885,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,27,11,27,24,0.8888888888888888,0.23511804554550775,0.21154775768335937,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,18,7,18,15,0.8333333333333334,0.25920877646211604,0.23795344951287725,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,9,4,9,9,1.0,0.18693658371229113,0.0855118130731771,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,all,27,11,27,22,0.8148148148148148,0.20344190904366607,0.15140877831114716,0,0,oracle_diagnostic_only
