split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
temperature_holdout_fold,capacity_Ah_kh,2,charge_c_rate,small_0.01_to_0.02Ah,2,2,0.5,0.0,0.5,0.11697474393126872,0.01938849999999981,-0.09758624393126891,1,0,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,profile,large_ge_0.05Ah,64,6,0.984375,1.0,-0.015625,0.13270386235014114,0.09411669531250005,-0.03858716703764109,63,64,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,profile,medium_0.02_to_0.05Ah,10,4,0.9,0.8,0.09999999999999998,0.04054389681247854,0.027185366666666867,-0.013358530145811672,9,8,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,profile,small_0.01_to_0.02Ah,1,1,1.0,1.0,0.0,0.0026896213119647072,0.010807999999999485,0.008118378688034777,1,1,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,profile,tiny_lt_0.01Ah,7,1,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.05339797671486579,0.010957619047618954,-0.04244035766724684,3,4,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,temperature,large_ge_0.05Ah,168,18,1.0,0.9761904761904762,0.023809523809523836,0.08250986664611919,0.07908260019841262,-0.0034272664477065645,168,164,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,temperature,medium_0.02_to_0.05Ah,37,9,0.8918918918918919,0.8648648648648649,0.027027027027026973,0.0263802564794675,0.015108909909909882,-0.01127134656955762,33,32,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,temperature,small_0.01_to_0.02Ah,12,7,0.5,0.6666666666666666,-0.16666666666666663,0.05075035564339712,0.026282277777777696,-0.02446807786561942,6,8,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,temperature,tiny_lt_0.01Ah,6,4,0.3333333333333333,0.8333333333333334,-0.5,0.0244499493887933,0.016426444444444115,-0.008023504944349186,2,5,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,voltage_window,large_ge_0.05Ah,301,30,0.9966777408637874,0.9568106312292359,0.03986710963455142,0.0690780929101526,0.06785953266888148,-0.0012185602412711216,300,288,prospective_supported_contrast_diagnostic
