split_name,target,horizon_checkups,model_level,feature_group,contrast_family,effect_threshold_label,effect_threshold_Ah,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,median_abs_observed_effect_Ah,mean_effect_abs_error,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,ge_0.01Ah,0.01,26,11,26,19,0.7307692307692307,0.3265776666666671,0.38951932051282057,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,ge_0.02Ah,0.02,26,11,26,19,0.7307692307692307,0.3265776666666671,0.38951932051282057,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,ge_0.05Ah,0.05,25,11,25,18,0.72,0.3393093333333339,0.40421881333333337,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,ge_0Ah,0.0,27,11,27,19,0.7037037037037037,0.3138460000000003,0.3753189567901235,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,ge_0.005Ah,0.005,17,7,17,12,0.7058823529411765,0.3393093333333339,0.40523852941176475,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,ge_0.01Ah,0.01,17,7,17,12,0.7058823529411765,0.3393093333333339,0.40523852941176475,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,ge_0.02Ah,0.02,17,7,17,12,0.7058823529411765,0.3393093333333339,0.40523852941176475,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,ge_0.05Ah,0.05,16,7,16,11,0.6875,0.3773449166666669,0.4291889375,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,ge_0Ah,0.0,18,7,18,12,0.6666666666666666,0.3259840000000005,0.38306469444444446,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,ge_0.005Ah,0.005,9,4,9,7,0.7777777777777778,0.3138460000000003,0.3598274814814816,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,ge_0.01Ah,0.01,9,4,9,7,0.7777777777777778,0.3138460000000003,0.3598274814814816,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,ge_0.02Ah,0.02,9,4,9,7,0.7777777777777778,0.3138460000000003,0.3598274814814816,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,ge_0.05Ah,0.05,9,4,9,7,0.7777777777777778,0.3138460000000003,0.3598274814814816,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,ge_0Ah,0.0,9,4,9,7,0.7777777777777778,0.3138460000000003,0.3598274814814816,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,ge_0.005Ah,0.005,26,11,26,19,0.7307692307692307,0.3265776666666671,0.3432985192307693,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,ge_0.01Ah,0.01,26,11,26,19,0.7307692307692307,0.3265776666666671,0.3432985192307693,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,ge_0.02Ah,0.02,26,11,26,19,0.7307692307692307,0.3265776666666671,0.3432985192307693,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,ge_0.05Ah,0.05,25,11,25,18,0.72,0.3393093333333339,0.35614918,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,ge_0Ah,0.0,27,11,27,20,0.7407407407407407,0.3138460000000003,0.33074050000000005,prospective_supported_contrast_diagnostic
