method_id,split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,reference_label,candidate_condition_mae,reference_condition_mae,condition_mae_gain,relative_degradation,row_count,quality_flagged_rows,severe_qa_flag_rows,monotonicity_unclean_rows,support_score,low_support_flag,failure_role
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,74,profile,40.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.09282141928483895,0.07853295428784328,-0.014288464996995667,0.18194228303986634,48,48,11,11,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,67,profile,0.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.1865286248435862,0.16025283783510325,-0.02627578700848296,0.16396456601611126,15,15,6,6,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,58,cyclic,40.0,approx_10_100,0.33,1.0,0,F4_direct_capacity,0.10110992224453808,0.0888985850879298,-0.01221133715660827,0.13736255919630225,38,38,8,8,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,60,cyclic,40.0,approx_10_100,1.67,1.0,0,F4_direct_capacity,0.1946570510879686,0.17265748698691774,-0.02199956410105086,0.12741737694072755,16,16,5,5,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,72,profile,25.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.04103457387671185,0.03715760067110402,-0.003876973205607828,0.10433863154740224,84,84,14,14,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,40,cyclic,10.0,approx_10_90,1.67,1.0,0,F4_direct_capacity,0.13238610480697738,0.11998300016201055,-0.012403104644966828,0.1033738498638905,15,15,3,3,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,69,profile,10.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.05137117270718406,0.047282209268141105,-0.004088963439042956,0.0864799573102459,84,84,22,22,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,19,cyclic,0.0,approx_0_100,1.0,1.0,0,F4_direct_capacity,0.18909235474611316,0.17599351273135297,-0.013098842014760192,0.07442798209701655,6,6,1,1,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,F4_direct_capacity,0.17674026114243646,0.165136739795693,-0.011603521346743473,0.0702661404185364,6,6,2,2,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,27,cyclic,0.0,approx_10_90,1.0,1.0,0,F4_direct_capacity,0.1613425297484588,0.15598019056798146,-0.005362339180477349,0.03437833458820054,15,15,3,3,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,76,profile,40.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.07772116131427823,0.07520560761315713,-0.0025155537011210954,0.03344901771235743,83,83,42,42,,,hotspot
