target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
delta_pulse_1s_resistance,condition_fold,3,54,-0.00013507225535588333,43,40.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0007408752514672206,0.000875947506823104
delta_pulse_1s_resistance,condition_fold,3,56,7.879447771750269e-05,10,40.0,approx_0_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008838668440742149,0.0008050723663567122
delta_pulse_1s_resistance,condition_fold,3,59,-0.00024931859012692487,16,40.0,approx_10_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0011325445858979034,0.0013818631760248283
delta_pulse_1s_resistance,condition_fold,3,67,-0.00038306701411267843,12,0.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0019093908899943147,0.002292457904106993
delta_pulse_1s_resistance,condition_fold,3,71,3.1462949853009836e-05,84,25.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005819262219672035,0.0005504632721141937
delta_pulse_1s_resistance,condition_fold,3,74,0.00011081567272970858,45,40.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.000574306477206402,0.00046349080447669343
delta_pulse_1s_resistance,condition_fold,4,2,-1.5827214667060057e-05,84,0.0,calendar_soc_50,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003562655016545248,0.00037209271632158487
delta_pulse_1s_resistance,condition_fold,4,4,2.171452843852551e-05,84,0.0,calendar_soc_100,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003535479972945377,0.0003318334688560122
delta_pulse_1s_resistance,condition_fold,4,14,2.6591880631422402e-05,84,40.0,calendar_soc_50,0.0,calendar,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0003666523159135073,0.0003400604352820849
delta_pulse_1s_resistance,condition_fold,4,19,-0.00025008148827584866,6,0.0,approx_0_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0035708383078568566,0.003820919796132705
