status,method,target,split_name,heldout_fold,parameter_set,nominal_coverage,empirical_coverage,coverage_delta_from_nominal,n_test_rows,n_test_conditions,n_calibration_rows,n_calibration_conditions,mean_interval_width,median_interval_width,interval_score,calibration_source,conformal_radius,replicate_radius,mean_test_replicate_spread,intervals_narrower_than_replicate_spread_fraction,intervals_wider_than_replicate_spread_fraction,condition_level_coverage,worst_condition_coverage
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.8811086797957695,-0.018891320204230566,1371,32,6902,44,0.24274585428654527,0.24274585428654527,0.5226999869409722,cross_split_excluding_test_conditions,0.12137292714327264,,0.07450677607585705,0.0824215900802334,0.9175784099197666,0.755804388306851,0.16666666666666666
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.8811086797957695,-0.018891320204230566,1371,32,6902,44,0.24274585428654527,0.24274585428654527,0.5226999869409722,cross_split_excluding_test_conditions,0.12137292714327264,0.021361000000000185,0.07450677607585705,0.0824215900802334,0.9175784099197666,0.755804388306851,0.16666666666666666
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.8,0.0,-0.8,1145,16,0,0,0.2399513827071396,0.23699891137488738,1.592426986057703,model_quantile_outputs,,,,,,0.0,0.0
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.9,0.9811463046757164,0.08114630467571637,1326,16,2501,60,0.3500110546853108,0.3500110546853108,0.3642544678591141,same_split_excluding_test_conditions,0.1750055273426554,,0.024701784313725484,0.0,1.0,0.9813415750915752,0.9404761904761905
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.9,0.9600301659125189,0.06003016591251886,1326,16,7053,60,0.29256779893620966,0.29256779893620966,0.3251673575624308,cross_split_excluding_test_conditions,0.14628389946810483,,0.024701784313725484,0.0,1.0,0.9603365384615384,0.9285714285714286
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.9,0.9600301659125189,0.06003016591251886,1326,16,7053,60,0.29256779893620966,0.29256779893620966,0.3251673575624308,cross_split_excluding_test_conditions,0.14628389946810483,0.02524000000000015,0.024701784313725484,0.0,1.0,0.9603365384615384,0.9285714285714286
evaluated,Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,0,,0.8,0.6481042654028436,-0.15189573459715644,844,16,0,0,0.06045843114161132,0.025978829237869126,0.19719812808836393,model_quantile_outputs,,,,,,0.6373938882079638,0.39285714285714285
evaluated,Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,0,,0.9,0.9253554502369669,0.025355450236966837,844,16,2983,60,0.13089994589532616,0.13089994589532616,0.25326746411504525,same_split_excluding_test_conditions,0.06544997294766308,,0.02324118838862559,0.04383886255924171,0.9561611374407583,0.8508525047548157,0.5294117647058824
evaluated,Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,0,,0.9,0.9727488151658767,0.07274881516587672,844,16,7997,60,0.24197797346785763,0.2419779734678576,0.31660194226520083,cross_split_excluding_test_conditions,0.1209889867339288,,0.02324118838862559,0.013033175355450236,0.9869668246445498,0.9314932657212069,0.75
evaluated,Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,0,,0.9,0.9727488151658767,0.07274881516587672,844,16,7997,60,0.24197797346785763,0.2419779734678576,0.31660194226520083,cross_split_excluding_test_conditions,0.1209889867339288,0.0027770000000004735,0.02324118838862559,0.013033175355450236,0.9869668246445498,0.9314932657212069,0.75
evaluated,Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,1,,0.8,0.6995359628770301,-0.10046403712296992,862,15,0,0,0.05146907174288203,0.01745898902886629,0.18219602955334704,model_quantile_outputs,,,,,,0.6891539364049672,0.23809523809523808
evaluated,Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,1,,0.9,0.9260115606936417,0.026011560693641633,865,15,2962,61,0.13094016078740975,0.13094016078740975,0.2931051554270299,same_split_excluding_test_conditions,0.06547008039370487,,0.0252327387283237,0.046242774566473986,0.953757225433526,0.8255934162382186,0.0
evaluated,Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,1,,0.9,0.9641618497109826,0.0641618497109826,865,15,8275,61,0.2452871652674805,0.2452871652674805,0.35035089857603335,cross_split_excluding_test_conditions,0.12264358263374026,,0.0252327387283237,0.021965317919075144,0.9780346820809248,0.8686207145374031,0.0
evaluated,Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,1,,0.9,0.9641618497109826,0.0641618497109826,865,15,8275,61,0.2452871652674805,0.2452871652674805,0.35035089857603335,cross_split_excluding_test_conditions,0.12264358263374026,0.003522999999999943,0.0252327387283237,0.021965317919075144,0.9780346820809248,0.8686207145374031,0.0
evaluated,Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,2,,0.8,0.7477578475336323,-0.052242152466367764,892,15,0,0,0.058168726133863924,0.015465218441850432,0.1303860251021752,model_quantile_outputs,,,,,,0.7121023990175013,0.2976190476190476
evaluated,Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,2,,0.9,0.9035874439461884,0.0035874439461883734,892,15,2935,61,0.1266322633019134,0.1266322633019134,0.278404260463462,same_split_excluding_test_conditions,0.0633161316509567,,0.0162098677130045,0.03699551569506727,0.9630044843049327,0.8113959350944502,0.0
evaluated,Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,2,,0.9,0.9562780269058296,0.056278026905829615,892,15,7774,61,0.2459693609584818,0.24596936095848182,0.3148661623138756,cross_split_excluding_test_conditions,0.12298468047924091,,0.0162098677130045,0.013452914798206279,0.9865470852017937,0.9192260211691425,0.6666666666666666
evaluated,Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,2,,0.9,0.9562780269058296,0.056278026905829615,892,15,7774,61,0.2459693609584818,0.24596936095848182,0.3148661623138756,cross_split_excluding_test_conditions,0.12298468047924091,0.003429999999999822,0.0162098677130045,0.013452914798206279,0.9865470852017937,0.9192260211691425,0.6666666666666666
evaluated,Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,3,,0.8,0.7326732673267327,-0.06732673267326739,505,15,0,0,0.09743083861754594,0.03458073360082016,0.3452139873650787,model_quantile_outputs,,,,,,0.6816548063001152,0.26666666666666666
evaluated,Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,3,,0.9,0.8349705304518664,-0.0650294695481336,509,15,3318,61,0.12096650131556456,0.12096650131556456,0.4442497890214442,same_split_excluding_test_conditions,0.06048325065778228,,0.04060471709233791,0.0825147347740668,0.9174852652259332,0.7144589944761569,0.3333333333333333
evaluated,Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,3,,0.9,0.9115913555992141,0.011591355599214093,509,15,9000,61,0.22863061951085561,0.22863061951085561,0.43606205521965125,cross_split_excluding_test_conditions,0.11431530975542781,,0.04060471709233791,0.04911591355599214,0.9508840864440079,0.8198913460469525,0.4
