auprc,auroc,base_train_one_class,brier,calibration_intercept,calibration_method,calibration_negative_count,calibration_positive_count,calibration_slope,calibration_status,condition_mean_brier,ece_10_bin,fallback_reason,feature_group,heldout_fold,label_policy,log_loss,model_level,n_calibration,n_calibration_conditions,n_fit_conditions,n_test,n_train,split_name,target,test_negative_count,test_one_class,test_positive_count,train_one_class,train_positive_count,worst_condition_brier
0.8792847389684959,0.9755212270093222,False,0.028371509915168833,0.5031464645353841,C0_raw_hgb_w2,677,114,0.07723173497636346,raw,0.058178589311884174,0.017994389994796172,,W2_nominal,1,all_rows,0.10774437240203856,B6_hist_gradient_boosting_classifier,791,16,45,865,2171,condition_fold,event_within_3_checkups,784,False,81,False,299,0.34513960518405
0.8792847389684959,0.9755212270093222,False,0.02872694032839229,0.5715775258748175,C1_platt_logistic,677,114,0.09452704751457089,calibrated,0.0585752396461403,0.020005085292402747,,W2_nominal,1,all_rows,0.10940210779660388,B6_hist_gradient_boosting_classifier,791,16,45,865,2171,condition_fold,event_within_3_checkups,784,False,81,False,299,0.2951260914596675
0.8411661269863008,0.9352875409423028,False,0.029715210587078576,0.5621207917397301,C2_isotonic,677,114,0.03998330158298535,calibrated,0.06132980538282185,0.0221017184962909,,W2_nominal,1,all_rows,0.2032422378572654,B6_hist_gradient_boosting_classifier,791,16,45,865,2171,condition_fold,event_within_3_checkups,784,False,81,False,299,0.3129281052188516
0.8660355839396695,0.9544904381505689,False,0.06207966777728736,0.5387678952122493,C0_raw_hgb_w2,427,114,0.0892657089727186,raw,0.07217840249122529,0.04410781915214857,,W2_nominal,1,verified_only,0.22599939363057212,B6_hist_gradient_boosting_classifier,541,13,37,438,1454,condition_fold,event_within_3_checkups,357,False,81,False,299,0.14823898553325052
0.8660355839396695,0.9544904381505689,False,0.06496833566270802,0.6248908295162734,C1_platt_logistic,427,114,0.12596606143447384,calibrated,0.09311119416244126,0.049242574451731067,,W2_nominal,1,verified_only,0.22693848377779358,B6_hist_gradient_boosting_classifier,541,13,37,438,1454,condition_fold,event_within_3_checkups,357,False,81,False,299,0.3052847763096383
0.8488702655791183,0.9317875298267455,False,0.06730013059363602,0.5187769969187886,C2_isotonic,427,114,0.03695821714450676,calibrated,0.11031282369434885,0.055062564026892684,,W2_nominal,1,verified_only,0.3530493728227988,B6_hist_gradient_boosting_classifier,541,13,37,438,1454,condition_fold,event_within_3_checkups,357,False,81,False,299,0.4635005144032922
0.7804357369475702,0.9889319534902306,False,0.017863205066357878,0.3600252274905714,C0_raw_hgb_w2,838,34,0.04773145362314074,raw,0.022491241393514647,0.017746019825573032,,W2_nominal,2,all_rows,0.06189081602565094,B6_hist_gradient_boosting_classifier,872,16,45,892,2063,condition_fold,event_within_1_checkup,863,False,29,False,110,0.1334300962269973
0.7804357369475702,0.9889319534902306,False,0.014100336206621466,0.41253297294719576,C1_platt_logistic,838,34,0.06554538803161561,calibrated,0.01631074472448154,0.009333310045454263,,W2_nominal,2,all_rows,0.048718335479776664,B6_hist_gradient_boosting_classifier,872,16,45,892,2063,condition_fold,event_within_1_checkup,863,False,29,False,110,0.060118869864547085
0.7160744743482453,0.954069604826787,False,0.01846494387245042,0.36355748946376343,C2_isotonic,838,34,0.0262427535749764,calibrated,0.024150595367527984,0.014938737875482949,,W2_nominal,2,all_rows,0.1140337385470945,B6_hist_gradient_boosting_classifier,872,16,45,892,2063,condition_fold,event_within_1_checkup,863,False,29,False,110,0.08417508417581146
0.7339431450994918,0.9733802932263085,False,0.041036347803907414,0.33150539576450966,C0_raw_hgb_w2,440,35,0.048910452732157085,raw,0.045615643834376794,0.04078076540369218,,W2_nominal,2,verified_only,0.14035701804191156,B6_hist_gradient_boosting_classifier,475,13,37,450,1508,condition_fold,event_within_1_checkup,421,False,29,False,109,0.16237859015374964
0.7339431450994918,0.9733802932263085,False,0.030250484404386945,0.40392608274329345,C1_platt_logistic,440,35,0.08647779268313523,calibrated,0.03384025942640499,0.023680786339910994,,W2_nominal,2,verified_only,0.10378469871903893,B6_hist_gradient_boosting_classifier,475,13,37,450,1508,condition_fold,event_within_1_checkup,421,False,29,False,109,0.06662990424975994
0.7483356773944775,0.9700221148333197,False,0.03300613233124321,0.22758809983059058,C2_isotonic,440,35,0.018915684714853404,calibrated,0.03774840077532856,0.030791278318600644,,W2_nominal,2,verified_only,0.1042314037690144,B6_hist_gradient_boosting_classifier,475,13,37,450,1508,condition_fold,event_within_1_checkup,421,False,29,False,109,0.08047057405362822
0.6825840739898072,0.9850119904076738,False,0.02590767337629819,0.4163392711010807,C0_raw_hgb_w2,856,72,0.06050368433030858,raw,0.0365121191360329,0.02794883071122188,,W2_nominal,2,all_rows,0.10012339912752675,B6_hist_gradient_boosting_classifier,928,16,45,892,2007,condition_fold,event_within_2_checkups,834,False,58,False,216,0.1804763640800289
0.6825840739898072,0.9850119904076738,False,0.023773688557246687,0.4795909576466971,C1_platt_logistic,856,72,0.1052688259315587,calibrated,0.03848155920934714,0.029439792965971115,,W2_nominal,2,all_rows,0.08263034998591852,B6_hist_gradient_boosting_classifier,928,16,45,892,2007,condition_fold,event_within_2_checkups,834,False,58,False,216,0.11466854324919033
0.8321250983850599,0.985921607541553,False,0.023943885603994925,0.27237434604846456,C2_isotonic,856,72,0.02134055090293707,calibrated,0.042975127724932574,0.020101406029351385,,W2_nominal,2,all_rows,0.07829687363102249,B6_hist_gradient_boosting_classifier,928,16,45,892,2007,condition_fold,event_within_2_checkups,834,False,58,False,216,0.16227497623218387
0.9374124485003366,0.9886303659394793,False,0.036529802588213166,0.4394800574085509,C0_raw_hgb_w2,521,78,0.07626225573944172,raw,0.05713248713288129,0.036651275210776546,,W2_nominal,2,verified_only,0.11216564416212667,B6_hist_gradient_boosting_classifier,599,13,37,450,1384,condition_fold,event_within_2_checkups,392,False,58,False,210,0.2144612252878132
0.9374124485003366,0.9886303659394793,False,0.030496717198968758,0.5030750368183702,C1_platt_logistic,521,78,0.10741168321667376,calibrated,0.05085633285887342,0.033690977565669224,,W2_nominal,2,verified_only,0.10581517071184407,B6_hist_gradient_boosting_classifier,599,13,37,450,1384,condition_fold,event_within_2_checkups,392,False,58,False,210,0.15676473373045768
0.93300160516881,0.9859254046446164,False,0.03209535661127195,0.42438253318262603,C2_isotonic,521,78,0.03251681778599053,calibrated,0.0597219076919842,0.02877102571034031,,W2_nominal,2,verified_only,0.10428713725163266,B6_hist_gradient_boosting_classifier,599,13,37,450,1384,condition_fold,event_within_2_checkups,392,False,58,False,210,0.18152922881738986
0.8579363867741292,0.9815682461103253,False,0.03720129380140866,0.4862698810834003,C0_raw_hgb_w2,585,114,0.07224778183983606,raw,0.0522782372525595,0.029096420743520562,,W2_nominal,2,all_rows,0.11478724544466554,B6_hist_gradient_boosting_classifier,699,16,45,892,2236,condition_fold,event_within_3_checkups,808,False,84,False,296,0.2815859728485101
0.8579363867741292,0.9815682461103253,False,0.03428778806840143,0.48560721409309077,C1_platt_logistic,585,114,0.10593212006384226,calibrated,0.04922297350607915,0.033965457910502025,,W2_nominal,2,all_rows,0.10925810021113773,B6_hist_gradient_boosting_classifier,699,16,45,892,2236,condition_fold,event_within_3_checkups,808,False,84,False,296,0.24272566355513556
0.8775344457707381,0.9813988095238095,False,0.031609101478186304,0.39651998515007136,C2_isotonic,585,114,0.029521080931284013,calibrated,0.04807930836586595,0.01687801176653491,,W2_nominal,2,all_rows,0.14253977564753317,B6_hist_gradient_boosting_classifier,699,16,45,892,2236,condition_fold,event_within_3_checkups,808,False,84,False,296,0.19403248646437332
0.9236817472397585,0.9729703356752537,False,0.046810621309884115,0.48942266539526347,C0_raw_hgb_w2,432,111,0.08351485399724232,raw,0.053292557866176725,0.030289443190465094,,W2_nominal,2,verified_only,0.1584821388644687,B6_hist_gradient_boosting_classifier,543,13,37,450,1440,condition_fold,event_within_3_checkups,366,False,84,False,299,0.16090780377479016
0.9236817472397585,0.9729703356752537,False,0.0509298396280644,0.4522112273348792,C1_platt_logistic,432,111,0.11575463821083559,calibrated,0.05648170490211178,0.04957497615892371,,W2_nominal,2,verified_only,0.17009511846227196,B6_hist_gradient_boosting_classifier,543,13,37,450,1440,condition_fold,event_within_3_checkups,366,False,84,False,299,0.15255092343504115
0.9226611263487705,0.9714415820973198,False,0.050218685510380064,0.36972607323753703,C2_isotonic,432,111,0.030850715253161163,calibrated,0.05534438679671079,0.04440436670449034,,W2_nominal,2,verified_only,0.1835376952406653,B6_hist_gradient_boosting_classifier,543,13,37,450,1440,condition_fold,event_within_3_checkups,366,False,84,False,299,0.1471667168993554
0.6801732297813676,0.8134987149402167,False,0.040552165875473896,0.5034806236921596,C0_raw_hgb_w2,891,33,0.06198848171289904,raw,0.10953313978142235,0.03854208037800746,,W2_nominal,3,all_rows,0.21614333766036017,B6_hist_gradient_boosting_classifier,924,16,45,509,2394,condition_fold,event_within_1_checkup,471,False,38,False,102,0.4997212696377169
0.6801732297813676,0.8134987149402167,False,0.03985459201074777,0.5001346864616273,C1_platt_logistic,891,33,0.08172305013763592,calibrated,0.10790405045217082,0.03736286175169421,,W2_nominal,3,all_rows,0.17678467379847357,B6_hist_gradient_boosting_classifier,924,16,45,509,2394,condition_fold,event_within_1_checkup,471,False,38,False,102,0.49791190477660674
0.6369433002491488,0.8219912839423399,False,0.041666254188022354,0.23210501004716058,C2_isotonic,891,33,0.022409767516403542,calibrated,0.10886974649724106,0.035539794894065446,,W2_nominal,3,all_rows,0.2798201797975553,B6_hist_gradient_boosting_classifier,924,16,45,509,2394,condition_fold,event_within_1_checkup,471,False,38,False,102,0.49999900000099995
0.7615171739591877,0.9503353973168215,False,0.05709954793818816,0.5278031685775808,C0_raw_hgb_w2,559,36,0.07042528932018402,raw,0.09753040522914477,0.056291921598996646,,W2_nominal,3,verified_only,0.23246900991946937,B6_hist_gradient_boosting_classifier,595,12,35,344,1494,condition_fold,event_within_1_checkup,306,False,38,False,99,0.3244389525911289
0.7615171739591877,0.9503353973168215,False,0.05650719704848414,0.5254082026173744,C1_platt_logistic,559,36,0.08154429154657228,calibrated,0.09684372388573907,0.051758629750604565,,W2_nominal,3,verified_only,0.2123504837044245,B6_hist_gradient_boosting_classifier,595,12,35,344,1494,condition_fold,event_within_1_checkup,306,False,38,False,99,0.31718169796841494
0.7051046600079972,0.843266253869969,False,0.06376523642798208,0.4877206294484445,C2_isotonic,559,36,0.032919722713778785,calibrated,0.11080868526164513,0.05110325954959554,,W2_nominal,3,verified_only,0.5046994490834985,B6_hist_gradient_boosting_classifier,595,12,35,344,1494,condition_fold,event_within_1_checkup,306,False,38,False,99,0.33333266666766664
0.8036754363842175,0.9559833475142823,False,0.06745187585592144,0.5403383940374368,C0_raw_hgb_w2,867,74,0.07449253808882185,raw,0.15861109650434427,0.05282325004371759,,W2_nominal,3,all_rows,0.23412779560624047,B6_hist_gradient_boosting_classifier,941,16,45,509,2377,condition_fold,event_within_2_checkups,433,False,76,False,196,0.5128346524787646
0.8036754363842175,0.9559833475142823,False,0.06477615829148754,0.5984668692273647,C1_platt_logistic,867,74,0.1125059682225717,calibrated,0.16330287905469867,0.05374814261979041,,W2_nominal,3,all_rows,0.21202414428264293,B6_hist_gradient_boosting_classifier,941,16,45,509,2377,condition_fold,event_within_2_checkups,433,False,76,False,196,0.5365096698672972
0.7678871815037769,0.9407286981888903,False,0.06998448084838331,0.3635569828741004,C2_isotonic,867,74,0.029774836432311408,calibrated,0.19088065116533015,0.051316085740320636,,W2_nominal,3,all_rows,0.2781361677302508,B6_hist_gradient_boosting_classifier,941,16,45,509,2377,condition_fold,event_within_2_checkups,433,False,76,False,196,0.773415922796118
0.8548103050790672,0.9428760801256874,False,0.08206451480246095,0.5330365730144121,C0_raw_hgb_w2,451,68,0.07776936363831255,raw,0.12358509338971424,0.058015421602945046,,W2_nominal,3,verified_only,0.3022835174318845,B6_hist_gradient_boosting_classifier,519,12,35,344,1570,condition_fold,event_within_2_checkups,268,False,76,False,202,0.3270314206737948
0.8548103050790672,0.9428760801256874,False,0.08117089366165603,0.576098715420867,C1_platt_logistic,451,68,0.06977010247323387,calibrated,0.13257916824713684,0.053559740095139585,,W2_nominal,3,verified_only,0.3361824903461107,B6_hist_gradient_boosting_classifier,519,12,35,344,1570,condition_fold,event_within_2_checkups,268,False,76,False,202,0.38648479624111987
0.8022661796883568,0.881578947368421,False,0.08273775095119608,0.4767731131561707,C2_isotonic,451,68,0.031109122568236898,calibrated,0.129113954659607,0.05528969040867532,,W2_nominal,3,verified_only,0.749795688347743,B6_hist_gradient_boosting_classifier,519,12,35,344,1570,condition_fold,event_within_2_checkups,268,False,76,False,202,0.3802076666673333
0.808075537892238,0.9349481376709099,False,0.09373042572428372,0.5419196369548742,C0_raw_hgb_w2,945,93,0.07767976278145668,raw,0.17632839106951234,0.0848085228795775,,W2_nominal,3,all_rows,0.32790240794703124,B6_hist_gradient_boosting_classifier,1038,16,45,509,2280,condition_fold,event_within_3_checkups,404,False,105,False,296,0.520068723837169
0.808075537892238,0.9349481376709099,False,0.09283803336858178,0.5804529766330784,C1_platt_logistic,945,93,0.08831814574443082,calibrated,0.18805888243511884,0.07777864038664359,,W2_nominal,3,all_rows,0.32446270710364467,B6_hist_gradient_boosting_classifier,1038,16,45,509,2280,condition_fold,event_within_3_checkups,404,False,105,False,296,0.5194922086821573
0.8068268498904745,0.9344177274870344,False,0.09204534348351301,0.4983917533799316,C2_isotonic,945,93,0.03752813081104586,calibrated,0.1892389900427325,0.0699981924104675,,W2_nominal,3,all_rows,0.32163327019447857,B6_hist_gradient_boosting_classifier,1038,16,45,509,2280,condition_fold,event_within_3_checkups,404,False,105,False,296,0.5123119749181941
0.8848907166116451,0.9439131301055987,False,0.1028201760883144,0.5596775065640716,C0_raw_hgb_w2,412,99,0.08613417419098464,raw,0.13235453129050345,0.08994099703493584,,W2_nominal,3,verified_only,0.3342658391441094,B6_hist_gradient_boosting_classifier,511,12,35,344,1578,condition_fold,event_within_3_checkups,239,False,105,False,290,0.3146005633803063
0.8848907166116451,0.9439131301055987,False,0.10308223892724565,0.6078750941397897,C1_platt_logistic,412,99,0.10583190185076352,calibrated,0.14763982777152326,0.09302499224532905,,W2_nominal,3,verified_only,0.32981947890885094,B6_hist_gradient_boosting_classifier,511,12,35,344,1578,condition_fold,event_within_3_checkups,239,False,105,False,290,0.32527325526168055
0.8780454139300156,0.9331141661685595,False,0.1060294872316864,0.5482576355151338,C2_isotonic,412,99,0.03895352484021463,calibrated,0.16359879147744688,0.09383681654665577,,W2_nominal,3,verified_only,0.40762202555184074,B6_hist_gradient_boosting_classifier,511,12,35,344,1578,condition_fold,event_within_3_checkups,239,False,105,False,290,0.356263216071242
0.6940921665612912,0.9810327949094468,False,0.025774123679846262,0.4659940867705141,C0_raw_hgb_w2,830,38,0.06090367499735414,raw,0.07330750531479023,0.02482918557677238,,W2_nominal,4,all_rows,0.09114273731134391,B6_hist_gradient_boosting_classifier,868,16,45,717,2242,condition_fold,event_within_1_checkup,681,False,36,False,99,0.4939421461574822
0.6940921665612912,0.9810327949094468,False,0.02427153533671481,0.5202721909361134,C1_platt_logistic,830,38,0.11207231742853285,calibrated,0.07221864965394524,0.021906762408260432,,W2_nominal,4,all_rows,0.08355142311007849,B6_hist_gradient_boosting_classifier,868,16,45,717,2242,condition_fold,event_within_1_checkup,681,False,36,False,99,0.4635709521212023
0.7258769500130836,0.9781775167237722,False,0.0265748132481073,0.3068832501583452,C2_isotonic,830,38,0.04785294574920273,calibrated,0.07882247601389529,0.01709701861374169,,W2_nominal,4,all_rows,0.08817089895288775,B6_hist_gradient_boosting_classifier,868,16,45,717,2242,condition_fold,event_within_1_checkup,681,False,36,False,99,0.43112363972795337
0.9192991929925264,0.9919709919709919,False,0.02423290379601295,0.4849670408507839,C0_raw_hgb_w2,507,35,0.07122972139522463,raw,0.0763480342043643,0.03249217693023474,,W2_nominal,4,verified_only,0.07580531382729915,B6_hist_gradient_boosting_classifier,542,12,36,465,1426,condition_fold,event_within_1_checkup,429,False,36,False,102,0.3546882404349476
0.9192991929925264,0.9919709919709919,False,0.02264541163449153,0.38745937576117806,C1_platt_logistic,507,35,0.07671394877504983,calibrated,0.044284818277603104,0.04198756888152742,,W2_nominal,4,verified_only,0.08274457203886938,B6_hist_gradient_boosting_classifier,542,12,36,465,1426,condition_fold,event_within_1_checkup,429,False,36,False,102,0.16279057114930365
0.8680809006275038,0.985949235949236,False,0.03567594413458466,0.33292336119275745,C2_isotonic,507,35,0.02519228682549669,calibrated,0.05650796782978116,0.042929477056667095,,W2_nominal,4,verified_only,0.1109917640168192,B6_hist_gradient_boosting_classifier,542,12,36,465,1426,condition_fold,event_within_1_checkup,429,False,36,False,102,0.15201781588776817
