bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
2,0.2,0.3,C1_platt_logistic,all_rows,0.24929592422830593,0.25,7,28,voltage_window_holdout_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,all_rows,0.351468372529445,0.24,6,25,voltage_window_holdout_fold,event_within_1_checkup
4,0.4,0.5,C1_platt_logistic,all_rows,0.44926645675811616,0.23076923076923078,3,13,voltage_window_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,all_rows,0.5509814783522545,0.48717948717948717,19,39,voltage_window_holdout_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,all_rows,0.6362961111786256,0.5555555555555556,10,18,voltage_window_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,all_rows,0.7626896529577782,0.6666666666666666,10,15,voltage_window_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,all_rows,0.8665661034654389,0.8043478260869565,37,46,voltage_window_holdout_fold,event_within_1_checkup
9,0.9,1.0,C1_platt_logistic,all_rows,0.9231577373451552,0.9393939393939394,31,33,voltage_window_holdout_fold,event_within_1_checkup
0,0.0,0.1,C2_isotonic,all_rows,0.0025621290020595394,0.09022556390977443,12,133,c_rate_holdout_fold,event_within_1_checkup
3,0.3,0.4,C2_isotonic,all_rows,0.3448275862068966,0.875,7,8,c_rate_holdout_fold,event_within_1_checkup
4,0.4,0.5,C2_isotonic,all_rows,0.42857142857142855,0.6,3,5,c_rate_holdout_fold,event_within_1_checkup
6,0.6,0.7,C2_isotonic,all_rows,0.6666666666666666,1.0,2,2,c_rate_holdout_fold,event_within_1_checkup
9,0.9,1.0,C2_isotonic,all_rows,0.9903929566532561,0.8888888888888888,8,9,c_rate_holdout_fold,event_within_1_checkup
0,0.0,0.1,C2_isotonic,all_rows,0.005105065727130611,0.007328072153325817,26,3548,condition_fold,event_within_1_checkup
1,0.1,0.2,C2_isotonic,all_rows,0.1430412013526216,0.3291139240506329,26,79,condition_fold,event_within_1_checkup
2,0.2,0.3,C2_isotonic,all_rows,0.2699805321586038,0.2857142857142857,12,42,condition_fold,event_within_1_checkup
4,0.4,0.5,C2_isotonic,all_rows,0.4375,0.8,12,15,condition_fold,event_within_1_checkup
5,0.5,0.6,C2_isotonic,all_rows,0.5598455598455598,0.2972972972972973,11,37,condition_fold,event_within_1_checkup
6,0.6,0.7,C2_isotonic,all_rows,0.6824512781048476,0.696969696969697,23,33,condition_fold,event_within_1_checkup
7,0.7,0.8,C2_isotonic,all_rows,0.7459653266516396,1.0,13,13,condition_fold,event_within_1_checkup
8,0.8,0.9,C2_isotonic,all_rows,0.8492826658464246,0.5454545454545454,6,11,condition_fold,event_within_1_checkup
9,0.9,1.0,C2_isotonic,all_rows,0.9691647996260804,0.8979591836734694,44,49,condition_fold,event_within_1_checkup
0,0.0,0.1,C2_isotonic,all_rows,1e-06,0.0045871559633027525,3,654,profile_holdout_fold,event_within_1_checkup
1,0.1,0.2,C2_isotonic,all_rows,0.13805135760282447,0.0,0,20,profile_holdout_fold,event_within_1_checkup
2,0.2,0.3,C2_isotonic,all_rows,0.2142260842420245,0.22727272727272727,5,22,profile_holdout_fold,event_within_1_checkup
4,0.4,0.5,C2_isotonic,all_rows,0.4000000000000001,0.6666666666666666,2,3,profile_holdout_fold,event_within_1_checkup
5,0.5,0.6,C2_isotonic,all_rows,0.5148518429572018,0.16666666666666666,1,6,profile_holdout_fold,event_within_1_checkup
7,0.7,0.8,C2_isotonic,all_rows,0.7777777777777778,0.3333333333333333,4,12,profile_holdout_fold,event_within_1_checkup
9,0.9,1.0,C2_isotonic,all_rows,0.9999989999999999,0.6,21,35,profile_holdout_fold,event_within_1_checkup
0,0.0,0.1,C2_isotonic,all_rows,0.000779789426430195,0.016489988221436984,28,1698,temperature_holdout_fold,event_within_1_checkup
1,0.1,0.2,C2_isotonic,all_rows,0.19267570499101597,0.0,0,1,temperature_holdout_fold,event_within_1_checkup
2,0.2,0.3,C2_isotonic,all_rows,0.22770535868456557,0.0,0,3,temperature_holdout_fold,event_within_1_checkup
3,0.3,0.4,C2_isotonic,all_rows,0.3171685838647268,0.3684210526315789,7,19,temperature_holdout_fold,event_within_1_checkup
5,0.5,0.6,C2_isotonic,all_rows,0.5193692373283286,0.45161290322580644,14,31,temperature_holdout_fold,event_within_1_checkup
6,0.6,0.7,C2_isotonic,all_rows,0.6666666666666666,0.5,2,4,temperature_holdout_fold,event_within_1_checkup
