epoch,train_loss,val_loss,target,split_name,heldout_fold,model_level
9,0.022662533336858217,0.03596683219075203,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
10,0.02464574499447879,0.035004500299692154,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
11,0.023602734246340237,0.04343803972005844,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
12,0.01868390874005854,0.034497201442718506,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
13,0.020706927440570372,0.03306114673614502,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
14,0.01852540780888184,0.033567994832992554,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
15,0.020931201067900185,0.04297986626625061,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
16,0.01721683700912093,0.03485313430428505,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
17,0.01598149593184261,0.03654111921787262,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
18,0.015933403438937507,0.03507174178957939,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
19,0.015794578020607953,0.0322488471865654,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
20,0.014142457787927828,0.02966490015387535,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
21,0.013865910225400799,0.03352093696594238,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
22,0.016692722914740443,0.03811873123049736,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
23,0.017230023727997354,0.04158666729927063,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
24,0.01596202879016729,0.036641884595155716,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
25,0.014047088836760898,0.037889931350946426,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
26,0.014621452293603829,0.041309621185064316,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
27,0.01284366902454119,0.03885761648416519,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
28,0.013896200046139328,0.031424663960933685,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
29,0.014546663500368595,0.03546161204576492,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
30,0.014581985943215458,0.031391292810440063,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
31,0.013941788482234665,0.028580214828252792,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
32,0.013245746677153204,0.02994292415678501,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
